n_shared,mtf_distance,random_mean
20,15,18.195
92,47,90.35
10,7,8.275
12,11,10.295
24,23,22.31
96,80,94.18
60,4,58.265
26,24,24.32
12,11,10.295
22,18,20.38
105,0,103.305
16,15,14.25
20,17,18.195
108,0,106.345
11,10,9.23
92,91,90.35
22,19,20.38
21,20,19.28
16,14,14.25
16,14,14.25
13,12,11.26
14,12,12.275
23,22,21.345
11,9,9.23
11,10,9.23
11,9,9.23
35,34,33.26
20,19,18.195
16,14,14.25
16,14,14.25
23,22,21.345
18,17,16.305
16,15,14.25
19,18,17.28
16,15,14.25
14,10,12.275
99,0,97.24
20,17,18.195
21,19,19.28
18,17,16.305
16,15,14.25
11,9,9.23
52,50,50.325
17,16,15.345
20,18,18.195
109,62,107.29
91,46,89.285
21,20,19.28
19,18,17.28
10,9,8.275
10,9,8.275
18,17,16.305
71,22,69.24
19,18,17.28
69,25,67.29
105,104,103.305
27,25,25.335
20,19,18.195
103,95,101.255
17,15,15.345
15,14,13.325
71,46,69.24
19,14,17.28
14,13,12.275
16,11,14.25
11,10,9.23
87,42,85.335
14,12,12.275
16,11,14.25
59,20,57.265
23,22,21.345
90,89,88.27
18,16,16.305
77,69,75.325
59,20,57.265
15,14,13.325
18,17,16.305
20,17,18.195
11,8,9.23
15,13,13.325
19,16,17.28
85,75,83.275
14,13,12.275
14,13,12.275
99,0,97.24
19,18,17.28
91,81,89.285
16,12,14.25
83,75,81.405
60,13,58.265
14,13,12.275
20,19,18.195
13,11,11.26
24,18,22.31
23,20,21.345
60,50,58.265
12,8,10.295
14,13,12.275
66,5,64.385
70,69,68.285
15,13,13.325
14,10,12.275
18,17,16.305
21,20,19.28
21,19,19.28
10,7,8.275
27,26,25.335
17,16,15.345
98,0,96.365
98,0,96.365
22,20,20.38
22,21,20.38
105,0,103.305
10,9,8.275
10,8,8.275
12,8,10.295
13,12,11.26
18,15,16.305
16,15,14.25
10,6,8.275
59,16,57.265
99,0,97.24
93,83,91.32
20,17,18.195
23,22,21.345
13,11,11.26
52,21,50.325
22,21,20.38
17,16,15.345
13,11,11.26
26,25,24.32
19,17,17.28
18,17,16.305
19,10,17.28
84,76,82.325
12,11,10.295
19,17,17.28
11,10,9.23
36,12,34.3
86,76,84.205
91,90,89.285
21,20,19.28
17,14,15.345
20,18,18.195
10,5,8.275
11,10,9.23
10,8,8.275
16,15,14.25
19,16,17.28
83,75,81.405
110,0,108.22
73,32,71.33
15,12,13.325
65,13,63.22
10,8,8.275
21,17,19.28
73,28,71.33
22,20,20.38
11,7,9.23
20,18,18.195
88,87,86.245
14,12,12.275
94,48,92.31
10,8,8.275
16,14,14.25
13,11,11.26
11,7,9.23
59,23,57.265
17,15,15.345
19,15,17.28
14,13,12.275
13,9,11.26
19,15,17.28
105,0,103.305
73,32,71.33
17,15,15.345
65,8,63.22
28,27,26.24
15,14,13.325
11,8,9.23
16,14,14.25
18,17,16.305
10,8,8.275
91,81,89.285
84,76,82.325
84,83,82.325
108,0,106.345
10,9,8.275
13,12,11.26
13,12,11.26
17,13,15.345
66,8,64.385
17,16,15.345
51,16,49.36
19,16,17.28
18,17,16.305
13,12,11.26
21,18,19.28
15,14,13.325
17,15,15.345
23,20,21.345
12,10,10.295
99,0,97.24
17,16,15.345
17,14,15.345
36,26,34.3
22,21,20.38
16,14,14.25
108,0,106.345
16,14,14.25
13,12,11.26
19,18,17.28
12,8,10.295
18,15,16.305
16,14,14.25
13,9,11.26
83,47,81.405
45,5,43.26
105,97,103.305
21,19,19.28
23,22,21.345
31,12,29.32
52,24,50.325
81,80,79.26
21,20,19.28
22,21,20.38
11,7,9.23
66,57,64.385
12,11,10.295
19,17,17.28
14,13,12.275
98,97,96.365
21,19,19.28
19,14,17.28
19,16,17.28
18,16,16.305
89,88,87.3
17,14,15.345
94,0,92.31
10,9,8.275
84,76,82.325
20,16,18.195
23,16,21.345
100,0,98.215
31,29,29.32
98,97,96.365
26,23,24.32
22,20,20.38
20,16,18.195
11,10,9.23
28,27,26.24
20,17,18.195
20,17,18.195
69,25,67.29
97,96,95.205
19,15,17.28
110,0,108.22
15,12,13.325
12,11,10.295
108,0,106.345
13,10,11.26
81,80,79.26
25,24,23.28
89,44,87.3
123,0,121.275
11,10,9.23
21,20,19.28
92,91,90.35
30,27,28.245
14,13,12.275
22,21,20.38
11,9,9.23
108,0,106.345
16,15,14.25
18,17,16.305
78,70,76.255
45,5,43.26
12,11,10.295
21,20,19.28
16,13,14.25
98,0,96.365
20,19,18.195
31,6,29.32
24,14,22.31
11,10,9.23
20,17,18.195
96,0,94.18
12,10,10.295
71,40,69.24
66,57,64.385
22,20,20.38
16,15,14.25
90,74,88.27
88,87,86.245
81,80,79.26
20,19,18.195
29,28,27.315
14,12,12.275
18,16,16.305
17,16,15.345
51,49,49.36
78,34,76.255
11,10,9.23
82,74,80.385
21,16,19.28
17,16,15.345
31,30,29.32
17,13,15.345
14,13,12.275
23,19,21.345
11,10,9.23
14,12,12.275
15,14,13.325
109,30,107.29
89,88,87.3
21,20,19.28
15,14,13.325
97,89,95.205
23,16,21.345
21,18,19.28
15,14,13.325
98,28,96.365
17,15,15.345
92,91,90.35
10,9,8.275
59,18,57.265
26,25,24.32
15,14,13.325
15,14,13.325
22,19,20.38
16,15,14.25
33,32,31.29
75,6,73.33
14,13,12.275
15,12,13.325
83,75,81.405
15,14,13.325
48,46,46.29
13,12,11.26
22,20,20.38
22,21,20.38
63,18,61.27
23,22,21.345
22,20,20.38
21,19,19.28
65,8,63.22
10,9,8.275
107,0,105.325
12,11,10.295
15,12,13.325
16,13,14.25
17,16,15.345
14,13,12.275
12,10,10.295
72,31,70.22
12,11,10.295
24,23,22.31
37,27,35.2
67,8,65.25
82,72,80.385
75,74,73.33
58,51,56.285
90,89,88.27
85,42,83.275
18,17,16.305
92,0,90.35
86,76,84.205
76,71,74.255
13,12,11.26
80,40,78.32
94,11,92.31
15,12,13.325
23,22,21.345
12,11,10.295
17,13,15.345
14,13,12.275
18,14,16.305
105,97,103.305
20,11,18.195
19,18,17.28
84,40,82.325
23,22,21.345
19,18,17.28
90,80,88.27
21,19,19.28
60,28,58.265
22,20,20.38
19,18,17.28
21,20,19.28
18,12,16.305
10,9,8.275
19,18,17.28
16,15,14.25
21,20,19.28
22,21,20.38
23,21,21.345
96,0,94.18
18,16,16.305
91,90,89.285
17,15,15.345
20,18,18.195
22,21,20.38
19,18,17.28
74,66,72.235
17,16,15.345
16,14,14.25
19,17,17.28
101,0,99.245
19,17,17.28
21,20,19.28
90,89,88.27
101,0,99.245
19,18,17.28
16,14,14.25
79,78,77.22
23,22,21.345
14,10,12.275
104,103,102.155
22,21,20.38
21,20,19.28
21,15,19.28
25,22,23.28
20,19,18.195
35,33,33.26
69,30,67.29
18,17,16.305
107,0,105.325
10,7,8.275
19,15,17.28
26,25,24.32
20,18,18.195
90,89,88.27
104,96,102.155
16,13,14.25
14,13,12.275
14,11,12.275
17,16,15.345
21,20,19.28
20,19,18.195
