n_shared,mtf_distance,random_mean
10,3,8.395
10,9,8.395
13,9,11.23
14,12,12.36
10,9,8.395
167,0,165.38
16,10,14.34
10,9,8.395
91,0,89.24
12,11,10.32
11,7,9.275
14,12,12.36
17,15,15.305
13,8,11.23
11,8,9.275
10,7,8.395
15,14,13.27
16,11,14.34
15,14,13.27
15,13,13.27
17,16,15.305
19,15,17.27
14,11,12.36
10,9,8.395
12,11,10.32
17,9,15.305
10,9,8.395
10,9,8.395
10,6,8.395
10,5,8.395
11,8,9.275
10,5,8.395
10,8,8.395
10,9,8.395
19,16,17.27
12,10,10.32
15,13,13.27
16,10,14.34
12,11,10.32
33,23,31.285
17,14,15.305
12,6,10.32
10,9,8.395
10,6,8.395
11,10,9.275
10,9,8.395
20,18,18.25
16,10,14.34
19,17,17.27
15,11,13.27
11,9,9.275
17,16,15.305
11,10,9.275
12,11,10.32
10,9,8.395
14,12,12.36
10,9,8.395
18,17,16.33
17,14,15.305
15,13,13.27
23,22,21.31
10,9,8.395
12,9,10.32
10,9,8.395
16,15,14.34
17,16,15.305
20,18,18.25
11,10,9.275
13,10,11.23
10,8,8.395
24,22,22.27
17,15,15.305
10,9,8.395
12,11,10.32
10,7,8.395
12,10,10.32
15,13,13.27
12,10,10.32
15,12,13.27
167,0,165.38
11,8,9.275
19,17,17.27
11,10,9.275
14,12,12.36
16,15,14.34
11,9,9.275
14,12,12.36
11,9,9.275
13,11,11.23
15,12,13.27
10,8,8.395
11,10,9.275
10,8,8.395
10,9,8.395
10,9,8.395
10,9,8.395
14,11,12.36
11,9,9.275
12,11,10.32
15,14,13.27
11,9,9.275
17,12,15.305
25,24,23.315
12,11,10.32
12,9,10.32
14,13,12.36
11,9,9.275
10,8,8.395
12,10,10.32
15,14,13.27
12,10,10.32
22,20,20.235
11,10,9.275
12,9,10.32
12,9,10.32
10,5,8.395
10,7,8.395
12,10,10.32
11,8,9.275
15,14,13.27
13,12,11.23
10,9,8.395
10,8,8.395
10,6,8.395
16,15,14.34
14,13,12.36
11,10,9.275
19,18,17.27
12,11,10.32
14,13,12.36
14,13,12.36
10,7,8.395
14,11,12.36
13,12,11.23
13,12,11.23
11,10,9.275
12,10,10.32
13,12,11.23
101,0,99.305
11,9,9.275
10,8,8.395
24,23,22.27
12,10,10.32
15,12,13.27
16,15,14.34
13,12,11.23
12,9,10.32
11,9,9.275
10,7,8.395
123,0,121.28
24,23,22.27
34,33,32.315
16,12,14.34
17,15,15.305
23,22,21.31
10,9,8.395
13,11,11.23
12,11,10.32
11,10,9.275
17,15,15.305
10,9,8.395
12,10,10.32
12,11,10.32
14,12,12.36
13,12,11.23
85,0,83.315
11,8,9.275
15,13,13.27
10,7,8.395
10,6,8.395
14,13,12.36
12,9,10.32
12,10,10.32
12,10,10.32
17,9,15.305
11,7,9.275
11,10,9.275
13,10,11.23
10,7,8.395
13,12,11.23
14,12,12.36
11,10,9.275
12,11,10.32
13,12,11.23
12,8,10.32
28,27,26.35
17,14,15.305
17,15,15.305
12,9,10.32
11,10,9.275
11,9,9.275
17,16,15.305
12,11,10.32
10,4,8.395
10,7,8.395
10,7,8.395
10,8,8.395
12,9,10.32
10,6,8.395
12,9,10.32
16,14,14.34
11,6,9.275
14,11,12.36
14,13,12.36
11,9,9.275
15,14,13.27
14,12,12.36
84,0,82.175
11,10,9.275
11,6,9.275
10,5,8.395
12,8,10.32
51,0,49.37
13,10,11.23
10,8,8.395
10,9,8.395
17,16,15.305
10,8,8.395
13,12,11.23
11,10,9.275
15,14,13.27
11,10,9.275
12,11,10.32
11,9,9.275
11,10,9.275
11,8,9.275
11,10,9.275
24,23,22.27
16,10,14.34
10,9,8.395
10,9,8.395
12,11,10.32
14,12,12.36
15,14,13.27
10,8,8.395
12,10,10.32
10,9,8.395
18,15,16.33
11,8,9.275
10,9,8.395
13,11,11.23
11,8,9.275
91,0,89.24
15,13,13.27
11,7,9.275
15,14,13.27
19,18,17.27
16,15,14.34
17,14,15.305
11,7,9.275
10,8,8.395
10,5,8.395
17,16,15.305
20,18,18.25
12,10,10.32
24,15,22.27
11,10,9.275
10,7,8.395
11,10,9.275
10,8,8.395
10,9,8.395
14,13,12.36
16,15,14.34
16,14,14.34
11,10,9.275
14,12,12.36
16,13,14.34
15,14,13.27
11,8,9.275
10,9,8.395
11,8,9.275
12,11,10.32
10,8,8.395
11,8,9.275
12,10,10.32
10,7,8.395
10,7,8.395
11,8,9.275
11,9,9.275
10,9,8.395
16,12,14.34
15,12,13.27
125,0,123.18
29,25,27.26
13,12,11.23
14,13,12.36
12,11,10.32
11,7,9.275
11,9,9.275
12,11,10.32
10,9,8.395
11,9,9.275
11,8,9.275
10,8,8.395
13,11,11.23
16,15,14.34
12,11,10.32
17,12,15.305
10,3,8.395
11,10,9.275
11,10,9.275
10,5,8.395
17,16,15.305
10,9,8.395
166,0,164.26
10,6,8.395
17,16,15.305
10,8,8.395
11,10,9.275
14,10,12.36
10,6,8.395
118,0,116.245
11,6,9.275
11,10,9.275
15,14,13.27
11,8,9.275
12,11,10.32
12,11,10.32
11,10,9.275
12,9,10.32
11,7,9.275
11,10,9.275
10,7,8.395
18,16,16.33
12,10,10.32
13,12,11.23
14,8,12.36
13,11,11.23
10,7,8.395
19,18,17.27
13,10,11.23
16,10,14.34
14,8,12.36
12,8,10.32
12,11,10.32
17,15,15.305
11,7,9.275
11,9,9.275
10,9,8.395
18,17,16.33
11,7,9.275
18,0,16.33
14,12,12.36
12,11,10.32
12,10,10.32
10,7,8.395
14,12,12.36
10,7,8.395
11,10,9.275
163,0,161.24
12,11,10.32
10,7,8.395
10,9,8.395
11,8,9.275
11,4,9.275
12,11,10.32
17,15,15.305
10,8,8.395
14,12,12.36
10,9,8.395
10,8,8.395
11,8,9.275
13,8,11.23
15,13,13.27
10,5,8.395
10,8,8.395
15,13,13.27
14,13,12.36
14,13,12.36
10,8,8.395
10,8,8.395
10,9,8.395
11,4,9.275
11,10,9.275
13,12,11.23
11,9,9.275
10,9,8.395
13,12,11.23
17,16,15.305
14,12,12.36
14,13,12.36
14,11,12.36
13,12,11.23
12,11,10.32
12,10,10.32
12,2,10.32
81,1,79.29
10,9,8.395
11,9,9.275
15,11,13.27
10,7,8.395
21,20,19.205
19,17,17.27
16,12,14.34
11,10,9.275
11,9,9.275
12,10,10.32
11,7,9.275
11,10,9.275
11,7,9.275
10,9,8.395
10,8,8.395
11,9,9.275
13,12,11.23
18,17,16.33
12,10,10.32
13,9,11.23
12,10,10.32
76,75,74.32
10,8,8.395
10,7,8.395
125,0,123.18
14,12,12.36
12,10,10.32
10,9,8.395
13,12,11.23
10,9,8.395
19,16,17.27
11,10,9.275
17,16,15.305
12,3,10.32
19,17,17.27
11,7,9.275
20,18,18.25
14,13,12.36
16,12,14.34
10,7,8.395
10,6,8.395
19,18,17.27
21,19,19.205
19,18,17.27
48,0,46.325
12,10,10.32
18,15,16.33
12,11,10.32
10,9,8.395
17,14,15.305
10,8,8.395
13,11,11.23
12,7,10.32
10,8,8.395
15,13,13.27
14,11,12.36
12,10,10.32
15,14,13.27
10,8,8.395
10,7,8.395
13,11,11.23
14,13,12.36
10,8,8.395
12,3,10.32
15,10,13.27
11,10,9.275
16,15,14.34
10,7,8.395
10,9,8.395
12,10,10.32
17,16,15.305
16,10,14.34
14,10,12.36
15,14,13.27
10,7,8.395
11,7,9.275
20,19,18.25
17,15,15.305
16,12,14.34
10,6,8.395
14,13,12.36
18,17,16.33
10,9,8.395
12,11,10.32
10,9,8.395
18,17,16.33
167,0,165.38
11,8,9.275
21,20,19.205
14,12,12.36
12,10,10.32
11,10,9.275
10,8,8.395
11,10,9.275
10,7,8.395
18,16,16.33
10,8,8.395
11,10,9.275
142,0,140.285
10,8,8.395
21,19,19.205
15,13,13.27
13,11,11.23
15,10,13.27
11,10,9.275
17,16,15.305
15,14,13.27
17,9,15.305
77,0,75.245
12,10,10.32
15,14,13.27
15,14,13.27
10,9,8.395
16,11,14.34
12,11,10.32
25,23,23.315
15,12,13.27
17,16,15.305
19,17,17.27
11,10,9.275
18,0,16.33
13,12,11.23
11,10,9.275
19,0,17.27
12,9,10.32
14,10,12.36
28,27,26.35
11,10,9.275
11,10,9.275
10,8,8.395
10,8,8.395
14,13,12.36
11,9,9.275
12,10,10.32
10,6,8.395
21,19,19.205
47,0,45.31
10,6,8.395
13,11,11.23
15,12,13.27
12,7,10.32
13,11,11.23
16,14,14.34
10,8,8.395
15,7,13.27
11,10,9.275
12,8,10.32
11,10,9.275
14,10,12.36
10,9,8.395
13,12,11.23
11,9,9.275
10,8,8.395
11,9,9.275
10,6,8.395
18,15,16.33
21,20,19.205
11,9,9.275
17,16,15.305
10,7,8.395
11,10,9.275
14,12,12.36
16,15,14.34
11,10,9.275
17,14,15.305
12,10,10.32
13,11,11.23
11,8,9.275
11,8,9.275
10,9,8.395
10,9,8.395
10,8,8.395
11,7,9.275
15,12,13.27
10,9,8.395
20,18,18.25
16,15,14.34
11,10,9.275
10,8,8.395
125,0,123.18
12,10,10.32
16,14,14.34
10,7,8.395
10,8,8.395
15,14,13.27
