n_shared,mtf_distance,random_mean
14,9,12.275
13,12,11.235
14,9,12.275
13,8,11.235
13,11,11.235
11,9,9.435
11,8,9.435
13,12,11.235
13,9,11.235
14,9,12.275
15,11,13.295
14,12,12.275
10,8,8.34
11,2,9.435
10,9,8.34
11,9,9.435
10,8,8.34
15,10,13.295
25,23,23.205
128,127,126.375
31,29,29.245
22,19,20.38
10,9,8.34
16,15,14.19
28,27,26.37
17,16,15.2
23,20,21.325
12,11,10.295
16,13,14.19
26,25,24.365
16,15,14.19
22,20,20.38
26,23,24.365
21,20,19.355
20,18,18.355
14,13,12.275
10,7,8.34
17,16,15.2
19,15,17.335
18,16,16.28
24,22,22.185
26,25,24.365
17,15,15.2
15,14,13.295
30,29,28.185
17,16,15.2
22,21,20.38
20,18,18.355
19,13,17.335
21,19,19.355
23,20,21.325
24,21,22.185
16,14,14.19
20,15,18.355
17,16,15.2
10,9,8.34
24,23,22.185
20,14,18.355
12,11,10.295
15,12,13.295
30,28,28.185
22,19,20.38
10,9,8.34
16,15,14.19
27,26,25.19
17,16,15.2
23,20,21.325
12,11,10.295
15,12,13.295
26,25,24.365
15,11,13.295
21,19,19.355
26,23,24.365
20,19,18.355
19,17,17.335
14,13,12.275
10,7,8.34
16,15,14.19
19,15,17.335
18,16,16.28
22,21,20.38
12,11,10.295
12,7,10.295
28,25,26.37
19,18,17.335
26,21,24.365
23,22,21.325
25,23,23.205
25,24,23.205
14,12,12.275
19,18,17.335
28,26,26.37
21,15,19.355
13,11,11.235
16,11,14.19
11,10,9.435
10,8,8.34
20,18,18.355
14,12,12.275
19,15,17.335
12,8,10.295
11,9,9.435
13,12,11.235
21,18,19.355
11,9,9.435
23,19,21.325
14,13,12.275
16,14,14.19
25,21,23.205
12,8,10.295
21,18,19.355
24,23,22.185
15,10,13.295
17,15,15.2
11,10,9.435
19,17,17.335
18,15,16.28
10,5,8.34
16,13,14.19
12,11,10.295
10,6,8.34
10,9,8.34
12,10,10.295
16,13,14.19
16,14,14.19
17,13,15.2
14,11,12.275
10,9,8.34
11,10,9.435
17,16,15.2
14,12,12.275
12,10,10.295
16,14,14.19
18,15,16.28
15,13,13.295
16,14,14.19
14,12,12.275
18,16,16.28
14,11,12.275
14,12,12.275
17,15,15.2
14,12,12.275
26,24,24.365
25,23,23.205
18,15,16.28
28,26,26.37
12,7,10.295
25,22,23.205
26,24,24.365
16,14,14.19
12,11,10.295
13,12,11.235
17,14,15.2
22,21,20.38
13,12,11.235
13,12,11.235
13,11,11.235
13,8,11.235
21,18,19.355
14,11,12.275
22,18,20.38
15,9,13.295
19,15,17.335
11,8,9.435
21,19,19.355
14,11,12.275
10,9,8.34
18,17,16.28
16,13,14.19
17,13,15.2
26,25,24.365
11,8,9.435
16,15,14.19
23,21,21.325
14,9,12.275
11,8,9.435
12,11,10.295
16,15,14.19
13,10,11.235
14,13,12.275
15,14,13.295
10,9,8.34
10,5,8.34
23,20,21.325
19,17,17.335
22,21,20.38
10,9,8.34
34,29,32.335
10,8,8.34
10,9,8.34
13,10,11.235
15,13,13.295
21,19,19.355
22,18,20.38
27,24,25.19
10,7,8.34
13,9,11.235
15,13,13.295
17,13,15.2
14,13,12.275
14,13,12.275
21,19,19.355
39,30,37.23
18,13,16.28
24,21,22.185
15,13,13.295
13,12,11.235
23,20,21.325
11,9,9.435
15,13,13.295
13,12,11.235
13,11,11.235
10,9,8.34
26,24,24.365
21,19,19.355
12,10,10.295
15,14,13.295
12,10,10.295
20,18,18.355
13,11,11.235
13,12,11.235
17,13,15.2
16,14,14.19
13,12,11.235
21,19,19.355
13,11,11.235
11,9,9.435
17,16,15.2
15,12,13.295
14,11,12.275
15,12,13.295
11,9,9.435
14,13,12.275
14,13,12.275
13,12,11.235
12,11,10.295
15,14,13.295
11,9,9.435
10,5,8.34
11,8,9.435
11,9,9.435
12,10,10.295
12,11,10.295
11,10,9.435
14,12,12.275
11,10,9.435
18,15,16.28
13,12,11.235
16,12,14.19
