accession,replicon,integron,type,intI,attC,cassettes,start,end,span_kb
GCF_000006745.1,NC_002506.1,integron_01,complete,yes,171,170,309750,435387,125.6
GCF_000009745.1,NC_005139.1,integron_01,complete,yes,186,185,1792926,1930904,138.0
GCF_000011805.1,NC_006841.2,integron_01,complete,yes,30,29,706054,736001,29.9
GCF_000011805.1,NC_006842.1,integron_01,CALIN,no,2,1,16781,25981,9.2
GCF_000016245.1,NC_009456.1,integron_01,CALIN,no,17,16,799858,813432,13.6
GCF_000016245.1,NC_009456.1,integron_02,complete,yes,110,109,833458,916350,82.9
GCF_000017705.1,NC_009783.1,integron_01,In0,yes,0,0,1995702,1996658,1.0
GCF_000021605.1,NC_012580.1,integron_01,complete,yes,132,131,310949,409402,98.5
GCF_000021625.1,NC_012583.1,integron_01,complete,yes,113,112,344619,430484,85.9
GCF_000021625.1,NC_012583.1,integron_02,CALIN,no,17,16,450510,464084,13.6
GCF_000022585.1,NC_012668.1,integron_01,complete,yes,1,0,2970831,2976303,5.5
GCF_000022585.1,NC_012667.1,integron_01,CALIN,no,8,7,931766,938266,6.5
GCF_000022585.1,NC_012667.1,integron_02,complete,yes,123,122,958376,1050596,92.2
GCF_000024825.1,NC_013456.1,integron_01,complete,yes,57,56,1744165,1786043,41.9
GCF_000024825.1,NC_013456.1,integron_02,CALIN,no,20,19,1822828,1842877,20.0
GCF_000024825.1,NC_013456.1,integron_03,CALIN,no,3,2,1854535,1857313,2.8
GCF_000039765.1,NC_004459.3,integron_01,complete,yes,203,202,2438314,2589649,151.3
GCF_000091465.1,NC_011753.2,integron_01,CALIN,no,2,1,1367940,1370039,2.1
GCF_000091465.1,NC_011753.2,integron_02,complete,yes,8,7,2015680,2033786,18.1
GCF_000091465.1,NC_011744.2,integron_01,CALIN,no,3,2,904385,908214,3.8
GCF_000166455.1,NC_016445.1,integron_01,complete,yes,1,0,165005,170477,5.5
GCF_000166455.1,NC_016446.1,integron_01,complete,yes,131,130,36195,135928,99.7
GCF_000184325.1,NC_016602.1,integron_01,CALIN,no,2,1,1423689,1432897,9.2
GCF_000184325.1,NC_016628.1,integron_01,complete,yes,58,57,3,1621672,1621.7
GCF_000186585.1,NC_014965.1,integron_01,complete,yes,181,180,1434218,1558944,124.7
GCF_000186585.1,NC_014966.1,integron_01,CALIN,no,2,1,336803,339020,2.2
GCF_000196095.1,NC_004603.1,integron_01,complete,yes,66,65,1901751,1949243,47.5
GCF_000196255.1,,,none,no,0,0,0,0,0
GCF_000196495.1,NC_011312.1,integron_01,CALIN,no,2,1,1575814,1578010,2.2
GCF_000196495.1,NC_011312.1,integron_02,CALIN,no,6,5,1744395,1751049,6.7
GCF_000196495.1,NC_011313.1,integron_01,complete,yes,17,16,593499,615361,21.9
GCF_000217675.1,NC_015637.1,integron_01,complete,yes,64,63,555,987961,987.4
GCF_000217675.1,NC_015637.1,integron_02,CALIN,no,11,10,945057,951392,6.3
GCF_000217675.1,NC_015637.1,integron_03,CALIN,no,9,8,983505,988102,4.6
GCF_000241385.1,NC_016613.1,integron_01,CALIN,no,14,13,1964268,1975226,11.0
GCF_000241385.1,NC_016613.1,integron_02,complete,yes,12,11,2144374,2154079,9.7
GCF_000250855.1,NC_016945.1,integron_01,complete,yes,171,170,309717,435206,125.5
GCF_000256265.3,NZ_CP166824.1,integron_01,CALIN,no,3,2,1850889,1856609,5.7
GCF_000256265.3,NZ_CP166825.1,integron_01,CALIN,no,4,3,16099,20148,4.0
GCF_000256265.3,NZ_CP166825.1,integron_02,CALIN,no,2,1,1657433,1659369,1.9
GCF_000275645.1,NZ_AKGH01000001.1,integron_01,complete,yes,1,0,365249,370721,5.5
GCF_000275645.1,NZ_AKGH01000002.1,integron_01,complete,yes,131,130,942355,1043390,101.0
GCF_000328405.1,NC_019955.1,integron_01,complete,yes,74,73,1853353,1911047,57.7
GCF_000328405.1,NC_019955.1,integron_02,CALIN,no,2,1,3249497,3252305,2.8
GCF_000354175.2,NC_022349.1,integron_01,CALIN,no,4,3,905535,909742,4.2
GCF_000354175.2,NC_022349.1,integron_02,complete,yes,80,79,942197,1010801,68.6
GCF_000430405.1,NC_021847.1,integron_01,CALIN,no,24,23,2233756,2261990,28.2
GCF_000430405.1,NC_021847.1,integron_02,complete,yes,71,70,2272433,2330797,58.4
GCF_000430425.1,NC_021848.1,integron_01,complete,yes,118,117,923397,1013491,90.1
GCF_000462975.1,NC_022224.1,integron_01,complete,yes,64,63,556,987960,987.4
GCF_000462975.1,NC_022224.1,integron_02,CALIN,no,11,10,945053,951388,6.3
GCF_000462975.1,NC_022224.1,integron_03,CALIN,no,9,8,983504,988101,4.6
GCF_000464435.1,NC_022269.1,integron_01,In0,yes,0,0,733162,734118,1.0
GCF_000568495.1,NZ_CP007004.1,integron_01,complete,yes,113,112,1500806,1604512,103.7
GCF_000746665.1,NZ_CP009261.1,integron_01,complete,yes,82,81,1790432,1855409,65.0
GCF_000763535.1,NZ_CP009264.1,integron_01,In0,yes,0,0,1188376,1189341,1.0
GCF_000763535.1,NZ_CP009264.1,integron_02,CALIN,no,8,7,1813557,1820911,7.4
GCF_000763535.1,NZ_CP009266.1,integron_01,CALIN,no,5,4,57052,64144,7.1
GCF_000765415.1,NZ_CP007634.1,integron_01,complete,yes,1,0,159929,165401,5.5
GCF_000765415.1,NZ_CP007635.1,integron_01,complete,yes,131,130,36117,137166,101.0
GCF_000765415.1,NZ_CP007636.1,integron_01,complete,yes,2,1,132196,137877,5.7
GCF_000770115.1,NZ_CP009467.1,integron_01,complete,yes,92,91,2307992,2400792,92.8
GCF_000772065.1,NZ_CP009617.1,integron_01,CALIN,no,32,31,1287321,1312162,24.8
GCF_000772065.1,NZ_CP009620.1,integron_01,CALIN,no,5,4,110433,119002,8.6
GCF_000772065.1,NZ_CP009620.1,integron_02,CALIN,no,4,3,248135,256961,8.8
GCF_000772105.1,NZ_CP009354.1,integron_01,CALIN,no,14,13,1682828,1697824,15.0
GCF_000772105.1,NZ_CP009355.1,integron_01,complete,yes,14,13,1057593,1070578,13.0
GCF_000772105.1,NZ_CP009356.1,integron_01,CALIN,no,7,6,100936,109156,8.2
GCF_000786425.1,NZ_LK021129.1,integron_01,complete,yes,59,58,427965,481055,53.1
GCF_000786425.1,NZ_LK021129.1,integron_02,CALIN,no,12,11,541158,552938,11.8
GCF_000786425.1,NZ_LK021129.1,integron_03,CALIN,no,16,15,572414,584700,12.3
GCF_000788715.2,NZ_CP012997.1,integron_01,complete,yes,148,147,828501,941266,112.8
GCF_000801275.2,NC_022528.1,integron_01,CALIN,no,2,1,1634756,1636151,1.4
GCF_000801275.2,NC_022528.1,integron_02,complete,yes,6,5,3435052,3443621,8.6
GCF_000801275.2,NC_022543.1,integron_01,CALIN,no,3,2,573822,575757,1.9
GCF_000829215.1,NZ_AP014525.1,integron_01,complete,yes,194,193,302809,445205,142.4
GCF_000963555.1,NZ_CP009042.1,integron_01,complete,yes,1,0,770943,776415,5.5
GCF_000963555.1,NZ_CP009041.1,integron_01,complete,yes,131,130,309780,409516,99.7
GCF_000969235.1,NZ_CP010811.1,integron_01,complete,yes,43,42,1721457,1758901,37.4
GCF_000969235.1,NZ_CP010811.1,integron_02,CALIN,no,48,47,2722425,2769924,47.5
GCF_000969265.1,NZ_CP010812.1,integron_01,complete,yes,88,87,737116,820081,83.0
GCF_000969265.1,NZ_CP010812.1,integron_02,CALIN,no,3,2,739066,741713,2.6
GCF_001188185.2,NZ_CP026041.1,integron_01,complete,yes,103,102,1814678,1902714,88.0
GCF_001188185.2,NZ_CP026041.1,integron_02,CALIN,no,2,1,2345690,2347959,2.3
GCF_001244315.1,NZ_CP009982.1,integron_01,complete,yes,125,124,1277583,1380705,103.1
GCF_001250235.2,NZ_LT907990.1,integron_01,complete,yes,171,170,309746,435385,125.6
GCF_001262735.2,NZ_CP169261.1,integron_01,complete,yes,103,102,2214891,2312731,97.8
GCF_001304775.1,NZ_CP009765.1,integron_01,complete,yes,258,257,1824883,2012098,187.2
GCF_001310575.2,NZ_CP045859.1,integron_01,complete,yes,72,71,1437556,1502611,65.1
GCF_001318185.1,NZ_CP006947.1,integron_01,complete,yes,1,0,2392532,2398004,5.5
GCF_001318185.1,NZ_CP006948.1,integron_01,complete,yes,131,130,309725,410760,101.0
GCF_001433415.1,NZ_CP009847.1,integron_01,CALIN,no,4,3,1927738,1932487,4.7
GCF_001433415.1,NZ_CP009847.1,integron_02,complete,yes,107,106,1936101,2018656,82.6
GCF_001433415.1,NZ_CP009849.1,integron_01,CALIN,no,4,3,13517,16837,3.3
GCF_001433435.1,NZ_CP009984.1,integron_01,complete,yes,222,221,1345144,1513803,168.7
GCF_001433435.1,NZ_CP009985.1,integron_01,CALIN,no,2,1,377686,381087,3.4
GCF_001456255.1,NZ_CP009977.1,integron_01,complete,yes,5,4,971752,977614,5.9
GCF_001469735.1,NZ_CP013484.1,integron_01,CALIN,no,8,7,968145,974513,6.4
GCF_001469735.1,NZ_CP013484.1,integron_02,complete,yes,59,58,1033521,1079954,46.4
GCF_001469735.1,NZ_CP013486.1,integron_01,CALIN,no,2,1,102298,104017,1.7
GCF_001469735.1,NZ_CP013487.1,integron_01,CALIN,no,3,2,231617,234836,3.2
GCF_001547935.1,NZ_AP014636.1,integron_01,CALIN,no,3,2,655991,659450,3.5
GCF_001547935.1,NZ_AP014636.1,integron_02,CALIN,no,4,3,768963,779145,10.2
GCF_001547935.1,NZ_AP014635.1,integron_01,complete,yes,2,1,2155799,2164232,8.4
GCF_001558255.2,NZ_CP014056.2,integron_01,complete,yes,1,0,2645520,2654464,8.9
GCF_001558415.2,NZ_CP014034.2,integron_01,CALIN,no,2,1,536772,539494,2.7
GCF_001558415.2,NZ_CP014034.2,integron_02,complete,yes,2,1,1194431,1197654,3.2
GCF_001558435.2,NZ_CP014038.2,integron_01,complete,yes,102,101,502921,600367,97.4
GCF_001558475.2,NZ_CP014042.2,integron_01,complete,yes,185,184,1086581,1230683,144.1
GCF_001558495.2,NZ_CP014046.2,integron_01,complete,yes,108,107,2145778,2221681,75.9
GCF_001558495.2,NZ_CP014046.2,integron_02,CALIN,no,35,34,2231942,2254185,22.2
GCF_001558515.2,NZ_CP014048.2,integron_01,CALIN,no,2,1,132803,134831,2.0
GCF_001558515.2,NZ_CP014049.2,integron_01,complete,yes,303,302,1224520,1425467,200.9
GCF_001636035.1,NZ_CP011406.1,integron_01,complete,yes,102,101,2050242,2138452,88.2
GCF_001636035.1,NZ_CP011406.1,integron_02,CALIN,no,2,1,2206785,2209211,2.4
GCF_001653775.1,NZ_CP011775.1,integron_01,complete,yes,222,221,1617761,1786420,168.7
GCF_001653775.1,NZ_CP011776.1,integron_01,CALIN,no,2,1,377497,380898,3.4
GCF_001675245.1,NZ_CP012739.1,integron_01,complete,yes,257,256,1431925,1601873,169.9
GCF_001675245.1,NZ_CP012740.1,integron_01,CALIN,no,2,1,355039,359080,4.0
GCF_001677275.1,NZ_CP016177.1,integron_01,CALIN,no,2,1,1298545,1301376,2.8
GCF_001679745.1,NZ_CP016224.1,integron_01,complete,yes,14,13,1835004,1857273,22.3
GCF_001679745.1,NZ_CP016224.1,integron_02,CALIN,no,5,4,2583671,2592439,8.8
GCF_001680025.1,NZ_CP016345.1,integron_01,CALIN,no,4,3,1935500,1939609,4.1
GCF_001680045.1,NZ_CP016347.1,integron_01,CALIN,no,4,3,1434898,1437511,2.6
GCF_001680065.1,NZ_CP016349.1,integron_01,CALIN,no,7,6,121251,129928,8.7
GCF_001680065.1,NZ_CP016349.1,integron_02,complete,yes,17,16,2125924,2140410,14.5
GCF_001680085.1,NZ_CP016351.1,integron_01,complete,yes,5,4,2059123,2065190,6.1
GCF_001680085.1,NZ_CP016352.1,integron_01,CALIN,no,3,2,875990,882878,6.9
GCF_001680085.1,NZ_CP016352.1,integron_02,CALIN,no,11,10,1311179,1322960,11.8
GCF_001680085.1,NZ_CP016352.1,integron_03,CALIN,no,3,2,1343701,1346790,3.1
GCF_001682175.1,NZ_CP011884.1,integron_01,complete,yes,167,166,1307047,1428119,121.1
GCF_001682175.1,NZ_CP011884.1,integron_02,CALIN,no,3,2,1837217,1839288,2.1
GCF_001683415.1,NZ_CP016325.1,integron_01,complete,yes,193,192,309323,451434,142.1
GCF_001685465.1,NZ_CP016308.1,integron_01,CALIN,no,15,14,1090802,1101074,10.3
GCF_001685465.1,NZ_CP016308.1,integron_02,CALIN,no,68,67,1121237,1166922,45.7
GCF_001685465.1,NZ_CP016308.1,integron_03,In0,yes,0,0,1385596,1386576,1.0
GCF_001687805.1,NZ_CP016415.1,integron_01,CALIN,no,89,88,258747,321234,62.5
GCF_001687805.1,NZ_CP016415.1,integron_02,In0,yes,0,0,919172,920134,1.0
GCF_001693615.1,NZ_CP016556.1,integron_01,CALIN,no,32,31,541734,572007,30.3
GCF_001693615.1,NZ_CP016556.1,integron_02,In0,yes,0,0,3416553,3417515,1.0
GCF_001695575.2,NZ_CM177875.1,integron_01,CALIN,no,19,18,2264223,2278940,14.7
GCF_001695575.2,NZ_CM177876.1,integron_01,complete,yes,17,16,396059,411888,15.8
GCF_001695575.2,NZ_LUAX02000002.1,integron_01,CALIN,no,6,5,5637,11802,6.2
GCF_001700835.1,NZ_CP010883.1,integron_01,complete,yes,21,20,2001788,2019164,17.4
GCF_001700835.1,NZ_CP010886.1,integron_01,CALIN,no,45,44,1,83465,83.5
GCF_001708035.2,,,none,no,0,0,0,0,0
GCF_001758605.1,NZ_CP012950.1,integron_01,complete,yes,48,47,1348319,1382094,33.8
GCF_001758605.1,NZ_CP012950.1,integron_02,CALIN,no,23,22,1394937,1410992,16.1
