family,n_genomes,n_species,n_proteins
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1860,12,3,12
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1863,13,3,13
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1864,20,7,20
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1867,9,1,9
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1870,10,2,10
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_2389,9,1,9
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_2390,15,4,15
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_2391,22,6,22
GCF_002119525.1|NZ_CP017916.1|NZ_CP017916.1_1358,1,1,1
GCF_002119525.1|NZ_CP017916.1|NZ_CP017916.1_1359,3,3,3
GCF_002119525.1|NZ_CP017916.1|NZ_CP017916.1_1681,2,2,3
GCF_002119525.1|NZ_CP017916.1|NZ_CP017916.1_1682,2,2,3
GCF_002157735.2|NZ_AP018690.1|NZ_AP018690.1_434,1,1,1
GCF_002157735.2|NZ_AP018690.1|NZ_AP018690.1_435,49,15,58
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1595,4,2,4
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1599,10,5,10
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1602,3,3,3
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1603,3,3,4
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1605,1,1,1
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1606,10,6,10
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1743,1,1,1
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1745,1,1,1
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1753,7,2,10
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1754,4,4,5
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1766,1,1,1
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1767,1,1,1
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1772,1,1,1
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1773,1,1,1
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1775,4,4,5
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1786,4,3,6
GCF_002163755.1|NZ_CP015863.1|NZ_CP015863.1_1790,3,2,3
GCF_002163755.1|NZ_CP015864.1|NZ_CP015864.1_81,5,4,5
GCF_002163755.1|NZ_CP015864.1|NZ_CP015864.1_82,8,5,8
GCF_000009745.1|NC_005139.1|NC_005139.1_1734,8,3,9
GCF_000009745.1|NC_005139.1|NC_005139.1_1738,1,1,1
GCF_000009745.1|NC_005139.1|NC_005139.1_1740,2,2,2
GCF_000009745.1|NC_005139.1|NC_005139.1_1742,3,3,4
GCF_000009745.1|NC_005139.1|NC_005139.1_1747,8,6,8
GCF_000009745.1|NC_005139.1|NC_005139.1_1750,1,1,1
GCF_000009745.1|NC_005139.1|NC_005139.1_1751,1,1,1
GCF_000009745.1|NC_005139.1|NC_005139.1_1755,1,1,1
GCF_000009745.1|NC_005139.1|NC_005139.1_1757,4,4,4
GCF_000009745.1|NC_005139.1|NC_005139.1_1758,3,2,3
GCF_000009745.1|NC_005139.1|NC_005139.1_1761,15,10,17
GCF_000009745.1|NC_005139.1|NC_005139.1_1763,25,14,32
GCF_000009745.1|NC_005139.1|NC_005139.1_1764,6,6,6
GCF_000009745.1|NC_005139.1|NC_005139.1_1765,1,1,1
GCF_000009745.1|NC_005139.1|NC_005139.1_1766,75,21,109
GCF_000011805.1|NC_006841.2|NC_006841.2_636,1,1,1
GCF_000011805.1|NC_006841.2|NC_006841.2_640,1,1,1
GCF_000011805.1|NC_006841.2|NC_006841.2_641,1,1,1
GCF_000011805.1|NC_006841.2|NC_006841.2_644,1,1,1
GCF_000011805.1|NC_006841.2|NC_006841.2_645,1,1,1
GCF_000011805.1|NC_006841.2|NC_006841.2_646,1,1,1
GCF_000011805.1|NC_006841.2|NC_006841.2_651,1,1,1
GCF_000011805.1|NC_006841.2|NC_006841.2_652,1,1,1
GCF_000011805.1|NC_006841.2|NC_006841.2_653,83,30,104
GCF_000011805.1|NC_006841.2|NC_006841.2_654,1,1,1
GCF_000011805.1|NC_006841.2|NC_006841.2_655,87,24,112
GCF_000011805.1|NC_006841.2|NC_006841.2_657,1,1,1
