integron_id	replicon	cassette_number	start	end	left_attC	right_attC	protein_count
integron_01	NC_002506.1	1	311455	312054	attc_001	attc_002	1
integron_01	NC_002506.1	2	312428	312628	attc_002	attc_003	1
integron_01	NC_002506.1	3	312764	313090	attc_003	attc_004	1
integron_01	NC_002506.1	4	314325	314576	attc_006	attc_007	1
integron_01	NC_002506.1	5	314729	315160	attc_007	attc_008	1
integron_01	NC_002506.1	6	315311	315940	attc_008	attc_009	1
integron_01	NC_002506.1	7	316096	316848	attc_009	attc_010	1
integron_01	NC_002506.1	8	317510	317914	attc_011	attc_012	1
integron_01	NC_002506.1	9	319123	319800	attc_014	attc_015	1
integron_01	NC_002506.1	10	319962	321170	attc_015	attc_016	1
integron_01	NC_002506.1	11	321332	322036	attc_016	attc_017	1
integron_01	NC_002506.1	12	322194	322532	attc_017	attc_018	1
integron_01	NC_002506.1	13	322686	323264	attc_018	attc_019	2
integron_01	NC_002506.1	14	323508	323894	attc_019	attc_020	1
integron_01	NC_002506.1	15	324073	324294	attc_020	attc_021	1
integron_01	NC_002506.1	16	324552	325088	attc_021	attc_022	1
integron_01	NC_002506.1	17	325225	325740	attc_022	attc_023	1
integron_01	NC_002506.1	18	325890	326656	attc_023	attc_024	2
integron_01	NC_002506.1	19	327424	327870	attc_025	attc_026	1
integron_01	NC_002506.1	20	328018	328558	attc_026	attc_027	2
integron_01	NC_002506.1	21	329871	330336	attc_029	attc_030	2
integron_01	NC_002506.1	22	330452	330703	attc_030	attc_031	1
integron_01	NC_002506.1	23	330917	331159	attc_031	attc_032	1
integron_01	NC_002506.1	24	331411	331689	attc_032	attc_033	1
integron_01	NC_002506.1	25	332511	332978	attc_034	attc_035	1
integron_01	NC_002506.1	26	333106	333768	attc_035	attc_036	1
integron_01	NC_002506.1	27	333953	334451	attc_036	attc_037	2
integron_01	NC_002506.1	28	334547	335341	attc_037	attc_038	1
integron_01	NC_002506.1	29	336031	337035	attc_039	attc_040	1
integron_01	NC_002506.1	30	337188	337547	attc_040	attc_041	1
integron_01	NC_002506.1	31	338321	338827	attc_042	attc_043	1
integron_01	NC_002506.1	32	338984	339449	attc_043	attc_044	2
integron_01	NC_002506.1	33	339564	339830	attc_044	attc_045	1
integron_01	NC_002506.1	34	340025	340276	attc_045	attc_046	1
integron_01	NC_002506.1	35	340545	340970	attc_046	attc_047	1
integron_01	NC_002506.1	36	341176	341894	attc_047	attc_048	2
integron_01	NC_002506.1	37	342012	342491	attc_048	attc_049	1
integron_01	NC_002506.1	38	342679	343092	attc_049	attc_050	1
integron_01	NC_002506.1	39	343243	343802	attc_050	attc_051	2
integron_01	NC_002506.1	40	343997	344512	attc_051	attc_052	1
integron_01	NC_002506.1	41	344589	345173	attc_052	attc_053	1
integron_01	NC_002506.1	42	345946	346419	attc_054	attc_055	1
integron_01	NC_002506.1	43	346568	347194	attc_055	attc_056	1
integron_01	NC_002506.1	44	347350	348015	attc_056	attc_057	1
integron_01	NC_002506.1	45	348195	348356	attc_057	attc_058	1
integron_01	NC_002506.1	46	349106	349501	attc_059	attc_060	1
integron_01	NC_002506.1	47	349629	350167	attc_060	attc_061	2
integron_01	NC_002506.1	48	350396	350974	attc_061	attc_062	1
integron_01	NC_002506.1	49	351148	351309	attc_062	attc_063	1
integron_01	NC_002506.1	50	351512	352675	attc_063	attc_064	2
integron_01	NC_002506.1	51	352830	353237	attc_064	attc_065	1
integron_01	NC_002506.1	52	353709	354644	attc_065	attc_066	1
integron_01	NC_002506.1	53	354862	358361	attc_066	attc_067	5
integron_01	NC_002506.1	54	358779	359786	attc_067	attc_068	1
integron_01	NC_002506.1	55	360581	360937	attc_069	attc_070	1
integron_01	NC_002506.1	56	361637	361993	attc_070	attc_071	1
integron_01	NC_002506.1	57	362092	362673	attc_071	attc_072	1
integron_01	NC_002506.1	58	363279	363770	attc_073	attc_074	1
integron_01	NC_002506.1	59	363919	364266	attc_074	attc_075	1
integron_01	NC_002506.1	60	364395	364706	attc_075	attc_076	1
integron_01	NC_002506.1	61	365351	365929	attc_077	attc_078	2
integron_01	NC_002506.1	62	366171	366680	attc_078	attc_079	1
integron_01	NC_002506.1	63	366770	367390	attc_079	attc_080	1
integron_01	NC_002506.1	64	369399	370041	attc_083	attc_084	2
integron_01	NC_002506.1	65	370653	371468	attc_085	attc_086	1
integron_01	NC_002506.1	66	371673	372503	attc_086	attc_087	1
integron_01	NC_002506.1	67	372803	373042	attc_087	attc_088	1
integron_01	NC_002506.1	68	373212	373373	attc_088	attc_089	1
integron_01	NC_002506.1	69	373522	374364	attc_089	attc_090	1
integron_01	NC_002506.1	70	374494	374949	attc_090	attc_091	1
integron_01	NC_002506.1	71	375133	375546	attc_091	attc_092	1
integron_01	NC_002506.1	72	375697	376131	attc_092	attc_093	1
integron_01	NC_002506.1	73	377315	377935	attc_095	attc_096	1
integron_01	NC_002506.1	74	378083	378598	attc_096	attc_097	1
integron_01	NC_002506.1	75	379262	379609	attc_098	attc_099	1
integron_01	NC_002506.1	76	379771	380229	attc_099	attc_100	1
integron_01	NC_002506.1	77	380380	380742	attc_100	attc_101	1
integron_01	NC_002506.1	78	381420	382073	attc_102	attc_103	1
integron_01	NC_002506.1	79	382228	382623	attc_103	attc_104	1
integron_01	NC_002506.1	80	382786	383145	attc_104	attc_105	1
integron_01	NC_002506.1	81	383373	383651	attc_105	attc_106	1
integron_01	NC_002506.1	82	383932	384468	attc_106	attc_107	1
integron_01	NC_002506.1	83	384607	384924	attc_107	attc_108	1
integron_01	NC_002506.1	84	385560	386315	attc_109	attc_110	1
integron_01	NC_002506.1	85	386465	386779	attc_110	attc_111	1
integron_01	NC_002506.1	86	387025	387450	attc_111	attc_112	1
integron_01	NC_002506.1	87	387664	388301	attc_112	attc_113	2
integron_01	NC_002506.1	88	389015	389410	attc_114	attc_115	1
integron_01	NC_002506.1	89	389600	390610	attc_115	attc_116	3
integron_01	NC_002506.1	90	391439	391753	attc_117	attc_118	1
integron_01	NC_002506.1	91	391972	392361	attc_118	attc_119	1
integron_01	NC_002506.1	92	392515	393372	attc_119	attc_120	1
integron_01	NC_002506.1	93	393996	394556	attc_121	attc_122	1
integron_01	NC_002506.1	94	395245	396249	attc_123	attc_124	1
integron_01	NC_002506.1	95	396402	396848	attc_124	attc_125	1
integron_01	NC_002506.1	96	396968	397897	attc_125	attc_126	1
integron_01	NC_002506.1	97	398032	398508	attc_126	attc_127	1
integron_01	NC_002506.1	98	398645	399160	attc_127	attc_128	1
integron_01	NC_002506.1	99	399296	399824	attc_128	attc_129	2
integron_01	NC_002506.1	100	400089	401048	attc_129	attc_130	2
integron_01	NC_002506.1	101	401320	401745	attc_130	attc_131	1
