replicon	cassette_number	start	end	length	integron_id	upstream_attc	downstream_attc
NC_004603.1	1	1902261	1902820	560	integron_01	attc_001	attc_002
NC_004603.1	2	1902949	1904642	1694	integron_01	attc_002	attc_003
NC_004603.1	3	1904771	1905065	295	integron_01	attc_003	attc_004
NC_004603.1	4	1905193	1905549	357	integron_01	attc_004	attc_005
NC_004603.1	5	1905647	1907174	1528	integron_01	attc_005	attc_006
NC_004603.1	6	1907302	1907696	395	integron_01	attc_006	attc_007
NC_004603.1	7	1907823	1908208	386	integron_01	attc_007	attc_008
NC_004603.1	8	1908335	1908685	351	integron_01	attc_008	attc_009
NC_004603.1	9	1908813	1909234	422	integron_01	attc_009	attc_010
NC_004603.1	10	1909362	1909712	351	integron_01	attc_010	attc_011
NC_004603.1	11	1909841	1912097	2257	integron_01	attc_011	attc_012
NC_004603.1	12	1912224	1912716	493	integron_01	attc_012	attc_013
NC_004603.1	13	1912843	1913244	402	integron_01	attc_013	attc_014
NC_004603.1	14	1913372	1914642	1271	integron_01	attc_014	attc_015
NC_004603.1	15	1914770	1915694	925	integron_01	attc_015	attc_016
NC_004603.1	16	1915821	1916524	704	integron_01	attc_016	attc_017
NC_004603.1	17	1916652	1917009	358	integron_01	attc_017	attc_018
NC_004603.1	18	1917135	1917556	422	integron_01	attc_018	attc_019
NC_004603.1	19	1917685	1918759	1075	integron_01	attc_019	attc_020
NC_004603.1	20	1918887	1919974	1088	integron_01	attc_020	attc_021
NC_004603.1	21	1920101	1920594	494	integron_01	attc_021	attc_022
NC_004603.1	22	1920721	1921748	1028	integron_01	attc_022	attc_023
NC_004603.1	23	1921877	1922826	950	integron_01	attc_023	attc_024
NC_004603.1	24	1922955	1924829	1875	integron_01	attc_024	attc_025
NC_004603.1	25	1924956	1925567	612	integron_01	attc_025	attc_026
NC_004603.1	26	1925694	1926416	723	integron_01	attc_026	attc_027
NC_004603.1	27	1926543	1927381	839	integron_01	attc_027	attc_028
NC_004603.1	28	1927508	1930310	2803	integron_01	attc_028	attc_029
NC_004603.1	29	1930436	1931442	1007	integron_01	attc_029	attc_030
NC_004603.1	30	1931568	1933178	1611	integron_01	attc_030	attc_031
NC_004603.1	31	1933305	1933838	534	integron_01	attc_031	attc_032
NC_004603.1	32	1933966	1936090	2125	integron_01	attc_032	attc_033
NC_004603.1	33	1936217	1937566	1350	integron_01	attc_033	attc_034
NC_004603.1	34	1937696	1938208	513	integron_01	attc_034	attc_035
NC_004603.1	35	1938336	1938991	656	integron_01	attc_035	attc_036
NC_004603.1	36	1939120	1939414	295	integron_01	attc_036	attc_037
NC_004603.1	37	1939543	1939899	357	integron_01	attc_037	attc_038
NC_004603.1	38	1940026	1940478	453	integron_01	attc_038	attc_039
NC_004603.1	39	1940605	1941350	746	integron_01	attc_039	attc_040
NC_004603.1	40	1941477	1942649	1173	integron_01	attc_040	attc_041
NC_004603.1	41	1942777	1943613	837	integron_01	attc_041	attc_042
NC_004603.1	42	1943739	1944172	434	integron_01	attc_042	attc_043
NC_004603.1	43	1944299	1946050	1752	integron_01	attc_043	attc_044
NC_004603.1	44	1946177	1946658	482	integron_01	attc_044	attc_045
