integron_id	replicon	cassette_number	start	end	left_attC	right_attC	protein_count
integron_01	NC_002506.1	1	311441	312191	attc_001	attc_002	1
integron_01	NC_002506.1	2	312319	312623	attc_002	attc_003	1
integron_01	NC_002506.1	3	312748	313111	attc_003	attc_004	1
integron_01	NC_002506.1	4	313236	313595	attc_004	attc_005	0
integron_01	NC_002506.1	5	313721	314124	attc_005	attc_006	0
integron_01	NC_002506.1	6	314253	314586	attc_006	attc_007	1
integron_01	NC_002506.1	7	314711	315163	attc_007	attc_008	1
integron_01	NC_002506.1	8	315290	315935	attc_008	attc_009	1
integron_01	NC_002506.1	9	316062	316850	attc_009	attc_010	1
integron_01	NC_002506.1	10	316978	317385	attc_010	attc_011	0
integron_01	NC_002506.1	11	317513	317909	attc_011	attc_012	1
integron_01	NC_002506.1	12	318036	318446	attc_012	attc_013	0
integron_01	NC_002506.1	13	318574	318982	attc_013	attc_014	0
integron_01	NC_002506.1	14	319109	319795	attc_014	attc_015	1
integron_01	NC_002506.1	15	319923	321178	attc_015	attc_016	1
integron_01	NC_002506.1	16	321306	322042	attc_016	attc_017	1
integron_01	NC_002506.1	17	322170	322545	attc_017	attc_018	1
integron_01	NC_002506.1	18	322673	323354	attc_018	attc_019	2
integron_01	NC_002506.1	19	323482	323889	attc_019	attc_020	1
integron_01	NC_002506.1	20	324016	324398	attc_020	attc_021	1
integron_01	NC_002506.1	21	324525	325083	attc_021	attc_022	1
integron_01	NC_002506.1	22	325211	325743	attc_022	attc_023	1
integron_01	NC_002506.1	23	325870	326746	attc_023	attc_024	2
integron_01	NC_002506.1	24	326873	327282	attc_024	attc_025	0
integron_01	NC_002506.1	25	327410	327875	attc_025	attc_026	1
integron_01	NC_002506.1	26	328003	328613	attc_026	attc_027	2
integron_01	NC_002506.1	27	328739	329249	attc_027	attc_028	0
integron_01	NC_002506.1	28	329377	329718	attc_028	attc_029	0
integron_01	NC_002506.1	29	329845	330252	attc_029	attc_030	2
integron_01	NC_002506.1	30	330380	330713	attc_030	attc_031	1
integron_01	NC_002506.1	31	330838	331178	attc_031	attc_032	1
integron_01	NC_002506.1	32	331306	331816	attc_032	attc_033	1
integron_01	NC_002506.1	33	331943	332354	attc_033	attc_034	0
integron_01	NC_002506.1	34	332481	332973	attc_034	attc_035	1
integron_01	NC_002506.1	35	333100	333774	attc_035	attc_036	1
integron_01	NC_002506.1	36	333899	334454	attc_036	attc_037	2
integron_01	NC_002506.1	37	334579	335342	attc_037	attc_038	1
integron_01	NC_002506.1	38	335467	335870	attc_038	attc_039	0
integron_01	NC_002506.1	39	335999	337030	attc_039	attc_040	1
integron_01	NC_002506.1	40	337157	337542	attc_040	attc_041	1
integron_01	NC_002506.1	41	337670	338180	attc_041	attc_042	0
integron_01	NC_002506.1	42	338307	338830	attc_042	attc_043	1
integron_01	NC_002506.1	43	338958	339365	attc_043	attc_044	2
integron_01	NC_002506.1	44	339493	339825	attc_044	attc_045	1
integron_01	NC_002506.1	45	339953	340286	attc_045	attc_046	1
integron_01	NC_002506.1	46	340411	341018	attc_046	attc_047	1
integron_01	NC_002506.1	47	341146	341810	attc_047	attc_048	2
integron_01	NC_002506.1	48	341938	342492	attc_048	attc_049	1
integron_01	NC_002506.1	49	342617	343098	attc_049	attc_050	1
integron_01	NC_002506.1	50	343226	343856	attc_050	attc_051	2
integron_01	NC_002506.1	51	343983	344515	attc_051	attc_052	1
integron_01	NC_002506.1	52	344642	345272	attc_052	attc_053	1
integron_01	NC_002506.1	53	345398	345801	attc_053	attc_054	0
integron_01	NC_002506.1	54	345930	346414	attc_054	attc_055	1
integron_01	NC_002506.1	55	346539	347197	attc_055	attc_056	1
integron_01	NC_002506.1	56	347320	348023	attc_056	attc_057	1
integron_01	NC_002506.1	57	348148	348410	attc_057	attc_058	1
integron_01	NC_002506.1	58	348538	348946	attc_058	attc_059	0
integron_01	NC_002506.1	59	349073	349506	attc_059	attc_060	1
integron_01	NC_002506.1	60	349634	350235	attc_060	attc_061	2
integron_01	NC_002506.1	61	350362	350976	attc_061	attc_062	1
integron_01	NC_002506.1	62	351101	351363	attc_062	attc_063	1
integron_01	NC_002506.1	63	351491	352689	attc_063	attc_064	2
integron_01	NC_002506.1	64	352816	353565	attc_064	attc_065	1
integron_01	NC_002506.1	65	353693	354639	attc_065	attc_066	1
integron_01	NC_002506.1	66	354763	358613	attc_066	attc_067	5
integron_01	NC_002506.1	67	358741	359781	attc_067	attc_068	1
integron_01	NC_002506.1	68	359906	360417	attc_068	attc_069	0
integron_01	NC_002506.1	69	360545	360940	attc_069	attc_070	1
integron_01	NC_002506.1	70	361068	361996	attc_070	attc_071	1
integron_01	NC_002506.1	71	362124	362668	attc_071	attc_072	1
integron_01	NC_002506.1	72	362795	363204	attc_072	attc_073	0
integron_01	NC_002506.1	73	363332	363765	attc_073	attc_074	1
integron_01	NC_002506.1	74	363893	364261	attc_074	attc_075	1
integron_01	NC_002506.1	75	364389	364707	attc_075	attc_076	1
integron_01	NC_002506.1	76	364834	365212	attc_076	attc_077	0
integron_01	NC_002506.1	77	365338	366019	attc_077	attc_078	2
integron_01	NC_002506.1	78	366147	366675	attc_078	attc_079	1
integron_01	NC_002506.1	79	366802	367407	attc_079	attc_080	1
integron_01	NC_002506.1	80	367535	368045	attc_080	attc_081	0
integron_01	NC_002506.1	81	368172	368681	attc_081	attc_082	0
integron_01	NC_002506.1	82	368807	369200	attc_082	attc_083	0
integron_01	NC_002506.1	83	369328	370036	attc_083	attc_084	2
integron_01	NC_002506.1	84	370161	370557	attc_084	attc_085	0
integron_01	NC_002506.1	85	370685	371463	attc_085	attc_086	1
integron_01	NC_002506.1	86	371591	372498	attc_086	attc_087	1
integron_01	NC_002506.1	87	372625	373037	attc_087	attc_088	1
integron_01	NC_002506.1	88	373165	373427	attc_088	attc_089	1
integron_01	NC_002506.1	89	373554	374369	attc_089	attc_090	1
integron_01	NC_002506.1	90	374497	374944	attc_090	attc_091	1
integron_01	NC_002506.1	91	375071	375552	attc_091	attc_092	1
integron_01	NC_002506.1	92	375678	376126	attc_092	attc_093	1
integron_01	NC_002506.1	93	376253	376608	attc_093	attc_094	0
integron_01	NC_002506.1	94	376735	377142	attc_094	attc_095	0
integron_01	NC_002506.1	95	377270	377941	attc_095	attc_096	1
integron_01	NC_002506.1	96	378069	378601	attc_096	attc_097	1
integron_01	NC_002506.1	97	378728	379137	attc_097	attc_098	0
integron_01	NC_002506.1	98	379265	379616	attc_098	attc_099	1
integron_01	NC_002506.1	99	379744	380236	attc_099	attc_100	1
integron_01	NC_002506.1	100	380364	380746	attc_100	attc_101	1
integron_01	NC_002506.1	101	380870	381278	attc_101	attc_102	0
integron_01	NC_002506.1	102	381405	382068	attc_102	attc_103	1
integron_01	NC_002506.1	103	382195	382628	attc_103	attc_104	1
integron_01	NC_002506.1	104	382755	383140	attc_104	attc_105	1
integron_01	NC_002506.1	105	383268	383778	attc_105	attc_106	1
integron_01	NC_002506.1	106	383905	384463	attc_106	attc_107	1
integron_01	NC_002506.1	107	384591	384929	attc_107	attc_108	1
integron_01	NC_002506.1	108	385056	385464	attc_108	attc_109	0
integron_01	NC_002506.1	109	385592	386322	attc_109	attc_110	1
integron_01	NC_002506.1	110	386449	386789	attc_110	attc_111	1
integron_01	NC_002506.1	111	386917	387459	attc_111	attc_112	1
integron_01	NC_002506.1	112	387586	388217	attc_112	attc_113	2
integron_01	NC_002506.1	113	388345	388855	attc_113	attc_114	0
integron_01	NC_002506.1	114	388982	389415	attc_114	attc_115	1
integron_01	NC_002506.1	115	389543	390658	attc_115	attc_116	3
integron_01	NC_002506.1	116	390786	391296	attc_116	attc_117	0
integron_01	NC_002506.1	117	391423	391763	attc_117	attc_118	1
integron_01	NC_002506.1	118	391890	392370	attc_118	attc_119	1
integron_01	NC_002506.1	119	392497	393367	attc_119	attc_120	1
integron_01	NC_002506.1	120	393494	393901	attc_120	attc_121	0
integron_01	NC_002506.1	121	394028	394551	attc_121	attc_122	1
integron_01	NC_002506.1	122	394677	395085	attc_122	attc_123	0
integron_01	NC_002506.1	123	395213	396244	attc_123	attc_124	1
integron_01	NC_002506.1	124	396372	396843	attc_124	attc_125	1
integron_01	NC_002506.1	125	396971	397892	attc_125	attc_126	1
integron_01	NC_002506.1	126	398017	398503	attc_126	attc_127	1
integron_01	NC_002506.1	127	398631	399163	attc_127	attc_128	1
integron_01	NC_002506.1	128	399291	399879	attc_128	attc_129	2
integron_01	NC_002506.1	129	400006	401059	attc_129	attc_130	2
integron_01	NC_002506.1	130	401186	401793	attc_130	attc_131	1
integron_01	NC_002506.1	131	401920	402353	attc_131	attc_132	1
integron_01	NC_002506.1	132	402481	403024	attc_132	attc_133	1
integron_01	NC_002506.1	133	403152	403667	attc_133	attc_134	1
integron_01	NC_002506.1	134	403793	404983	attc_134	attc_135	2
integron_01	NC_002506.1	135	405106	406261	attc_135	attc_136	2
integron_01	NC_002506.1	136	406388	407509	attc_136	attc_137	1
integron_01	NC_002506.1	137	407637	408395	attc_137	attc_138	1
integron_01	NC_002506.1	138	408521	409391	attc_138	attc_139	1
integron_01	NC_002506.1	139	409516	410122	attc_139	attc_140	1
integron_01	NC_002506.1	140	410249	410600	attc_140	attc_141	1
integron_01	NC_002506.1	141	410727	411237	attc_141	attc_142	0
integron_01	NC_002506.1	142	411365	411684	attc_142	attc_143	1
integron_01	NC_002506.1	143	411812	412220	attc_143	attc_144	0
integron_01	NC_002506.1	144	412348	412755	attc_144	attc_145	2
integron_01	NC_002506.1	145	412883	413223	attc_145	attc_146	1
integron_01	NC_002506.1	146	413351	413747	attc_146	attc_147	1
integron_01	NC_002506.1	147	413875	414257	attc_147	attc_148	2
integron_01	NC_002506.1	148	414384	414766	attc_148	attc_149	1
integron_01	NC_002506.1	149	414894	415577	attc_149	attc_150	2
integron_01	NC_002506.1	150	415704	416163	attc_150	attc_151	1
integron_01	NC_002506.1	151	416290	419186	attc_151	attc_152	5
integron_01	NC_002506.1	152	419311	420531	attc_152	attc_153	3
integron_01	NC_002506.1	153	420659	421106	attc_153	attc_154	1
integron_01	NC_002506.1	154	421233	421640	attc_154	attc_155	0
integron_01	NC_002506.1	155	421767	422643	attc_155	attc_156	2
integron_01	NC_002506.1	156	422770	423457	attc_156	attc_157	1
