accession,species,attC,cassettes,complete,calin
GCF_002257545.1,Vibrio qinghaiensis,378,377,1,0
GCF_014788305.1,Vibrio navarrensis,371,369,0,2
GCF_015767675.1,Vibrio navarrensis,315,311,0,4
GCF_045348105.1,Vibrio vulnificus,315,314,1,0
GCF_040254425.1,Vibrio parahaemolyticus,314,311,1,2
GCF_045689275.1,Vibrio cholerae,310,309,1,0
GCF_001558515.2,Vibrio vulnificus,305,303,1,1
GCF_046850195.1,Vibrio aestuarianus subsp. francensis,303,300,1,2
GCF_013357785.1,Vibrio cholerae,295,293,1,1
GCF_009763725.1,Vibrio navarrensis,294,292,0,2
GCF_013357805.1,Vibrio cholerae,294,292,1,1
GCF_009764115.1,Vibrio vulnificus,292,291,1,0
GCF_002212005.1,Vibrio anguillarum,289,287,1,1
GCF_013357825.1,Vibrio cholerae,288,287,1,0
GCF_002850455.1,Vibrio vulnificus,285,284,1,0
GCF_051352415.1,Vibrio cidicii,282,280,0,2
GCF_003595585.1,Vibrio anguillarum,278,277,1,0
GCF_002863725.1,Vibrio vulnificus,273,270,1,2
GCF_013357685.1,Vibrio cholerae,265,264,1,0
GCF_013357845.1,Vibrio cholerae,263,262,1,0
GCF_001675245.1,Vibrio vulnificus,259,257,1,1
GCF_001304775.1,Vibrio parahaemolyticus,258,257,1,0
GCF_051046905.1,Vibrio cholerae,258,257,1,0
GCF_009665475.1,Vibrio vulnificus,257,256,1,0
GCF_014107515.1,Vibrio vulnificus,256,255,1,0
GCF_049315005.1,Vibrio anguillarum,252,251,1,0
GCF_003047125.1,Vibrio vulnificus Env1,248,247,1,0
GCF_036553415.2,Vibrio mimicus,248,247,1,0
GCF_013357745.1,Vibrio cholerae,244,242,1,1
GCF_013357765.1,Vibrio cholerae,242,240,1,1
GCF_046532655.1,Vibrio vulnificus,242,240,1,1
GCF_053220615.1,Vibrio cholerae,242,241,1,0
GCF_052545415.1,Vibrio cholerae,241,240,1,0
GCF_002204915.1,Vibrio vulnificus,238,234,1,3
GCF_009762965.1,Vibrio cholerae,238,237,1,0
GCF_013393845.1,Vibrio parahaemolyticus,237,235,1,1
GCF_013357865.1,Vibrio cholerae,233,232,1,0
GCF_002212025.1,Vibrio anguillarum,232,231,1,0
GCF_037101305.1,Vibrio cholerae,232,230,2,0
GCF_003522555.1,Vibrio vulnificus,228,227,1,0
GCF_014211935.1,Vibrio vulnificus,228,227,1,0
GCF_003063885.1,Vibrio cholerae,227,226,1,0
GCF_021730085.1,Vibrio parahaemolyticus,226,223,1,2
