genome_a,genome_b,species_a,species_b,mash_dist,n_shared,mtf_distance,random_mean
GCF_000006745.1,GCF_000016245.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae O395,0.00554,65,24,63.39
GCF_000006745.1,GCF_000021605.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae M66-2,0.00159,54,19,52.20
GCF_000006745.1,GCF_000021625.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae O395,0.00553,65,24,63.39
GCF_000006745.1,GCF_000022585.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae MJ-1236,0.00127,87,86,85.35
GCF_000006745.1,GCF_000166455.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae O1 str. 2010EL-1786,0.00084,87,77,85.35
GCF_000006745.1,GCF_000196495.1,Vibrio cholerae O1 biovar El Tor str. N16961,Aliivibrio salmonicida LFI1238,0.26803,11,10,9.41
GCF_000006745.1,GCF_000250855.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae IEC224,0.00056,101,0,99.29
GCF_000006745.1,GCF_000275645.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae H1,0.00087,85,75,83.35
GCF_000006745.1,GCF_000765415.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00168,89,79,87.27
GCF_000006745.1,GCF_000788715.2,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01013,44,15,42.21
GCF_000006745.1,GCF_000829215.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae MS6,0.00329,58,15,56.23
GCF_000006745.1,GCF_000963555.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae O1 biovar El Tor,0.00084,88,78,86.21
GCF_000006745.1,GCF_000969235.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01561,11,10,9.41
GCF_000006745.1,GCF_000969265.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01732,20,17,18.30
GCF_000006745.1,GCF_001250235.2,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00002,106,0,104.31
GCF_000006745.1,GCF_001318185.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae O1 str. KW3,0.00087,85,75,83.35
GCF_000006745.1,GCF_001558475.2,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio mimicus,0.10519,12,10,10.26
GCF_000006745.1,GCF_001683415.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae 2740-80,0.00249,62,12,60.11
GCF_000006745.1,GCF_001854425.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.01012,45,16,43.23
GCF_000006745.1,GCF_001887395.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00036,95,27,93.35
GCF_000006745.1,GCF_001887415.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00154,70,29,68.18
GCF_000006745.1,GCF_001887435.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00048,72,21,70.29
GCF_000006745.1,GCF_001887455.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00035,89,27,87.27
GCF_000006745.1,GCF_001887475.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae,0.00249,63,13,61.17
