sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
clust_rep_seq_PD-T4-5_357	PD-T4-5	PD-T4-5	Defense	GCF_009665395.1|NZ_CP035698.1|NZ_CP035698.1_438	GCF_009665395.1|NZ_CP035698.1|NZ_CP035698.1_438	GCF_009665395.1|NZ_CP035698.1|NZ_CP035698.1_438	1	PD-T4-5__PD-T4-5
clust_rep_seq_Rugutis_405	Rugutis	Rugutis	Defense	GCF_009763065.1|NZ_CP046750.1|NZ_CP046750.1_99	GCF_009763065.1|NZ_CP046750.1|NZ_CP046750.1_99	GCF_009763065.1|NZ_CP046750.1|NZ_CP046750.1_99	1	Rugutis__Rugutis
clust_rep_seq_Hailong_290	Hailong	Hailong	Defense	GCF_009763485.1|NZ_CP046816.1|NZ_CP046816.1_282	GCF_009763485.1|NZ_CP046816.1|NZ_CP046816.1_283	GCF_009763485.1|NZ_CP046816.1|NZ_CP046816.1_282,GCF_009763485.1|NZ_CP046816.1|NZ_CP046816.1_283	2	Hailong__HalA,Hailong__HalB
clust_rep_seq_AbiZ_42	AbiZ	AbiZ	Defense	GCF_009763545.1|NZ_CP046782.1|NZ_CP046782.1_1859	GCF_009763545.1|NZ_CP046782.1|NZ_CP046782.1_1859	GCF_009763545.1|NZ_CP046782.1|NZ_CP046782.1_1859	1	AbiZ__AbiZ
clust_rep_seq_Belisama_155	Belisama	Belisama	Defense	GCF_022343165.1|NZ_CP082315.1|NZ_CP082315.1_1238	GCF_022343165.1|NZ_CP082315.1|NZ_CP082315.1_1238	GCF_022343165.1|NZ_CP082315.1|NZ_CP082315.1_1238	1	Belisama__VCA0458
clust_rep_seq_ScoMcrA_432	ScoMcrA	ScoMcrA	Defense	GCF_023206775.1|NZ_CP072782.1|NZ_CP072782.1_1727	GCF_023206775.1|NZ_CP072782.1|NZ_CP072782.1_1727	GCF_023206775.1|NZ_CP072782.1|NZ_CP072782.1_1727	1	ScoMcrA__ScoMcrA
clust_rep_seq_DRT_2_191	DRT	DRT_2	Defense	GCF_028885605.1|NZ_CP118528.1|NZ_CP118528.1_2601	GCF_028885605.1|NZ_CP118528.1|NZ_CP118528.1_2601	GCF_028885605.1|NZ_CP118528.1|NZ_CP118528.1_2601	1	DRT_2__drt2
clust_rep_seq_SEFIR_420	SEFIR	SEFIR	Defense	GCF_029541605.1|NZ_CP120719.1|NZ_CP120719.1_2132	GCF_029541605.1|NZ_CP120719.1|NZ_CP120719.1_2132	GCF_029541605.1|NZ_CP120719.1|NZ_CP120719.1_2132	1	SEFIR__bSEFIR
clust_rep_seq_Aristaios_43	Aristaios	Aristaios	Defense	GCF_030060435.1|NZ_CP125875.1|NZ_CP125875.1_946	GCF_030060435.1|NZ_CP125875.1|NZ_CP125875.1_946	GCF_030060435.1|NZ_CP125875.1|NZ_CP125875.1_946	1	Aristaios__Aristaios
clust_rep_seq_Dag_220	Dag	Dag	Defense	GCF_030316235.1|NZ_CP128201.1|NZ_CP128201.1_609	GCF_030316235.1|NZ_CP128201.1|NZ_CP128201.1_609	GCF_030316235.1|NZ_CP128201.1|NZ_CP128201.1_609	1	Dag__Dag3
clust_rep_seq_FS_GIY_YIG_276	FS_GIY_YIG	FS_GIY_YIG	Defense	GCF_030388405.1|NZ_CP116414.1|NZ_CP116414.1_990	GCF_030388405.1|NZ_CP116414.1|NZ_CP116414.1_990	GCF_030388405.1|NZ_CP116414.1|NZ_CP116414.1_990	1	FS_GIY_YIG__GIY_YIG
clust_rep_seq_Aristaios_44	Aristaios	Aristaios	Defense	GCF_034480505.1|NZ_CP129932.1|NZ_CP129932.1_1821	GCF_034480505.1|NZ_CP129932.1|NZ_CP129932.1_1821	GCF_034480505.1|NZ_CP129932.1|NZ_CP129932.1_1821	1	Aristaios__Aristaios
clust_rep_seq_Avs2_153	Avs	Avs2	Defense	GCF_039544385.1|NZ_CP154269.1|NZ_CP154269.1_60	GCF_039544385.1|NZ_CP154269.1|NZ_CP154269.1_60	GCF_039544385.1|NZ_CP154269.1|NZ_CP154269.1_60	1	Avs2__Avs2
clust_rep_seq_Aristaios_45	Aristaios	Aristaios	Defense	GCF_039658515.1|NZ_CP150864.1|NZ_CP150864.1_1357	GCF_039658515.1|NZ_CP150864.1|NZ_CP150864.1_1357	GCF_039658515.1|NZ_CP150864.1|NZ_CP150864.1_1357	1	Aristaios__Aristaios
clust_rep_seq_Kiwa_292	Kiwa	Kiwa	Defense	GCF_052747775.1|NZ_CM127575.1|NZ_CM127575.1_869	GCF_052747775.1|NZ_CM127575.1|NZ_CM127575.1_870	GCF_052747775.1|NZ_CM127575.1|NZ_CM127575.1_869,GCF_052747775.1|NZ_CM127575.1|NZ_CM127575.1_870	2	Kiwa__KwaA,Kiwa__KwaB
clust_rep_seq_DS-37_212	DS-37	DS-37	Defense	GCF_052747775.1|NZ_CM127575.1|NZ_CM127575.1_904	GCF_052747775.1|NZ_CM127575.1|NZ_CM127575.1_904	GCF_052747775.1|NZ_CM127575.1|NZ_CM127575.1_904	1	DS-37__DS-37
clust_rep_seq_PARIS_II_merge_345	Paris	PARIS_II_merge	Defense	GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_902	GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_902	GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_902	1	Paris_II_merge__AAA_21_DUF4435
clust_rep_seq_Rugutis_406	Rugutis	Rugutis	Defense	GCF_000009745.1|NC_005139.1|NC_005139.1_1634	GCF_000009745.1|NC_005139.1|NC_005139.1_1634	GCF_000009745.1|NC_005139.1|NC_005139.1_1634	1	Rugutis__Rugutis
clust_rep_seq_Retron_I_B_396	Retron	Retron_I_B	Defense	GCF_000009745.1|NC_005139.1|NC_005139.1_1642	GCF_000009745.1|NC_005139.1|NC_005139.1_1643	GCF_000009745.1|NC_005139.1|NC_005139.1_1642,GCF_000009745.1|NC_005139.1|NC_005139.1_1643	2	Retron_I_B__ATPase_TOPRIM,Retron__RT_Tot_3
clust_rep_seq_Dag_221	Dag	Dag	Defense	GCF_000009745.1|NC_005139.1|NC_005139.1_1678	GCF_000009745.1|NC_005139.1|NC_005139.1_1678	GCF_000009745.1|NC_005139.1|NC_005139.1_1678	1	Dag__Dag8
clust_rep_seq_Aristaios_46	Aristaios	Aristaios	Defense	GCF_001908435.2|NZ_CP018681.2|NZ_CP018681.2_1170	GCF_001908435.2|NZ_CP018681.2|NZ_CP018681.2_1170	GCF_001908435.2|NZ_CP018681.2|NZ_CP018681.2_1170	1	Aristaios__Aristaios
clust_rep_seq_Rugutis_407	Rugutis	Rugutis	Defense	GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1207	GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1207	GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1207	1	Rugutis__Rugutis
clust_rep_seq_VP1826_498	VP1826	VP1826	Defense	GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_876	GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_876	GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_876	1	VP1826__VP1826
