hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
GCF_009665395.1|NZ_CP035698.1|NZ_CP035698.1_438	clust_rep_seq	3	308	PD-T4-5__PD-T4-5	1.3e-91	306.8	0.983	0.984	1	303
GCF_009763025.1|NZ_CP046776.1|NZ_CP046776.1_1283	clust_rep_seq	36	219	AbiT__AbiTi	8e-09	34.9	0.924	0.868	29	218
GCF_009763025.1|NZ_CP046776.1|NZ_CP046776.1_1284	clust_rep_seq	37	195	AbiT__AbiTi	0.0003	20.0	0.538	0.508	78	176
GCF_009763065.1|NZ_CP046750.1|NZ_CP046750.1_99	clust_rep_seq	42	376	Rugutis__Rugutis	1.7e-36	125.7	0.772	0.891	6	340
GCF_009763485.1|NZ_CP046816.1|NZ_CP046816.1_282	clust_rep_seq	67	277	Hailong__HalB	1.3e-35	122.7	0.903	0.736	2	205
GCF_009763485.1|NZ_CP046816.1|NZ_CP046816.1_283	clust_rep_seq	68	281	Hailong__HalA	7.2e-30	103.9	0.685	0.883	34	281
GCF_009763545.1|NZ_CP046782.1|NZ_CP046782.1_1842	clust_rep_seq	79	272	Retron_VII_2__DUF3800	3.8e-12	46.3	0.981	0.772	6	215
GCF_009763545.1|NZ_CP046782.1|NZ_CP046782.1_1859	clust_rep_seq	83	404	AbiZ__AbiZ	5.8e-35	120.9	0.918	0.948	17	399
GCF_022343165.1|NZ_CP082315.1|NZ_CP082315.1_1238	clust_rep_seq	112	338	Belisama__VCA0458	1.1e-29	102.9	0.791	0.669	92	317
GCF_023205895.1|NZ_CP064033.1|NZ_CP064033.1_1173	clust_rep_seq	151	343	Lamassu__LmuA_SMEK	3.5e-29	101.9	0.517	0.484	3	168
GCF_023206775.1|NZ_CP072782.1|NZ_CP072782.1_1727	clust_rep_seq	159	207	ScoMcrA__ScoMcrA	9.6e-43	146.4	0.477	0.986	2	205
GCF_023716545.1|NZ_CP071845.1|NZ_CP071845.1_1168	clust_rep_seq	199	343	DarTG__DarG	5.1000000000000005e-26	91.4	0.85	0.883	1	303
GCF_028885605.1|NZ_CP118528.1|NZ_CP118528.1_2601	clust_rep_seq	202	182	DRT_2__drt2	3.9e-95	319.1	0.424	0.989	1	180
GCF_029541605.1|NZ_CP120719.1|NZ_CP120719.1_2132	clust_rep_seq	236	248	SEFIR__bSEFIR	2.1e-78	264.3	0.515	0.835	3	209
GCF_030060435.1|NZ_CP125875.1|NZ_CP125875.1_946	clust_rep_seq	265	320	Aristaios__Aristaios	5.4e-50	170.2	0.62	0.95	15	318
GCF_030316235.1|NZ_CP128201.1|NZ_CP128201.1_609	clust_rep_seq	296	230	Dag__Dag3	5.099999999999999e-88	293.8	0.958	0.887	26	229
GCF_030388405.1|NZ_CP116414.1|NZ_CP116414.1_990	clust_rep_seq	300	301	FS_GIY_YIG__GIY_YIG	4.9999999999999995e-112	373.9	0.918	0.993	2	300
GCF_034480505.1|NZ_CP129932.1|NZ_CP129932.1_1821	clust_rep_seq	313	231	Aristaios__Aristaios	8.8e-43	146.5	0.449	0.892	14	219
GCF_039544385.1|NZ_CP154269.1|NZ_CP154269.1_60	clust_rep_seq	358	1493	Avs2__Avs2	0.0	1302.1	0.933	0.993	2	1484
GCF_039658515.1|NZ_CP150864.1|NZ_CP150864.1_1357	clust_rep_seq	378	335	Aristaios__Aristaios	3.4e-50	170.9	0.614	0.684	2	230
GCF_040235185.1|NZ_CP158117.1|NZ_CP158117.1_623	clust_rep_seq	387	317	DS-34__DS-34B	2e-48	164.8	0.543	0.555	137	312
GCF_052747775.1|NZ_CM127575.1|NZ_CM127575.1_869	clust_rep_seq	420	195	Kiwa__KwaA	7.7e-46	155.7	0.927	0.964	1	188
GCF_052747775.1|NZ_CM127575.1|NZ_CM127575.1_870	clust_rep_seq	421	301	Kiwa__KwaB	5.1e-73	245.8	0.965	0.987	5	301
GCF_052747775.1|NZ_CM127575.1|NZ_CM127575.1_904	clust_rep_seq	427	452	DS-37__DS-37	4.2e-141	470.2	0.976	0.965	15	450
GCF_052805275.1|NZ_CM127837.1|NZ_CM127837.1_2160	clust_rep_seq	439	427	CBASS__Endonuc_small	2.4e-07	30.2	0.456	0.258	15	124
GCF_052806215.1|NZ_CM127845.1|NZ_CM127845.1_806	clust_rep_seq	443	322	DS-34__DS-34B	5.699999999999999e-53	179.7	0.647	0.637	116	320
GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_902	clust_rep_seq	480	412	Paris_II__AriA_AAA21	1.2e-18	67.2	0.451	0.4	88	252
GCF_053220615.1|NZ_CM129952.1|NZ_CM129952.1_902	clust_rep_seq	480	412	Paris_II_merge__AAA_21_DUF4435	3.2e-121	405.1	0.693	0.92	13	391
GCF_965140425.1|NZ_OZ223211.1|NZ_OZ223211.1_1450	clust_rep_seq	505	168	Kiwa__KwaA	9.599999999999998e-22	77.1	0.916	0.988	2	167
GCF_000009745.1|NC_005139.1|NC_005139.1_1634	clust_rep_seq	507	355	Rugutis__Rugutis	5.8e-53	179.9	0.802	0.918	15	340
GCF_000009745.1|NC_005139.1|NC_005139.1_1642	clust_rep_seq	511	757	Retron_I_B__ATPase_TOPRIM	1.5e-238	793.4	0.997	0.976	7	745
GCF_000009745.1|NC_005139.1|NC_005139.1_1643	clust_rep_seq	512	372	Retron__RT_Tot_1	6.3e-29	100.6	0.667	0.602	63	286
GCF_000009745.1|NC_005139.1|NC_005139.1_1643	clust_rep_seq	512	372	Retron__RT_Tot_7	1.9e-32	112.2	0.579	0.68	63	315
GCF_000009745.1|NC_005139.1|NC_005139.1_1643	clust_rep_seq	512	372	Retron__RT_Tot_4	4.4000000000000005e-36	124.2	0.66	0.602	63	286
GCF_000009745.1|NC_005139.1|NC_005139.1_1643	clust_rep_seq	512	372	Retron__RT_Tot_3	3.3e-123	410.9	0.992	0.987	4	370
GCF_000009745.1|NC_005139.1|NC_005139.1_1678	clust_rep_seq	523	200	Dag__Dag8	1.3999999999999999e-67	227.0	0.964	0.95	6	195
GCF_000009745.1|NC_005139.1|NC_005139.1_1711	clust_rep_seq	536	369	TIR-I__TIR-I_A	4.9999999999999996e-185	614.3	0.984	0.997	1	368
GCF_001908435.2|NZ_CP018681.2|NZ_CP018681.2_1170	clust_rep_seq	552	255	Aristaios__Aristaios	4.4e-52	177.1	0.595	0.98	4	253
GCF_001969325.1|NZ_CP019293.1|NZ_CP019293.1_1207	clust_rep_seq	585	369	Rugutis__Rugutis	1.3e-111	373.0	0.84	0.93	7	349
GCF_056824445.1|NZ_CP103956.1|NZ_CP103956.1_1824	clust_rep_seq	601	155	DS-5__DS-5B	1.6e-48	165.4	0.417	0.994	1	154
GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_876	clust_rep_seq	645	316	VP1826__VP1826	1.6e-68	231.5	0.711	0.934	3	297
GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_888	clust_rep_seq	651	298	PD-T4-7__PD-T4-7	1.8e-31	108.9	0.684	0.732	56	273
GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_889	clust_rep_seq	652	204	Dag__Dag12	1.4e-64	217.4	0.99	0.995	1	203
GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_907	clust_rep_seq	664	427	DRT2__DRT2	1e-165	552.0	0.812	0.986	6	426
GCF_057368475.1|NZ_CM170643.1|NZ_CM170643.1_907	clust_rep_seq	664	427	DRT_2__drt2	3.4e-205	681.7	0.998	0.995	2	426
GCF_057368585.1|NZ_CM170655.1|NZ_CM170655.1_1081	clust_rep_seq	668	210	Retron_I_A__HNH_TIGR02646	1e-15	57.6	0.504	0.529	23	133
