replicon	cassette_number	start	end	length	integron_id	upstream_attc	downstream_attc
NC_002506.1	1	311442	312190	749	integron_01	attc_001	attc_002
NC_002506.1	2	312320	312622	303	integron_01	attc_002	attc_003
NC_002506.1	3	312749	313110	362	integron_01	attc_003	attc_004
NC_002506.1	4	313237	313594	358	integron_01	attc_004	attc_005
NC_002506.1	5	313722	314123	402	integron_01	attc_005	attc_006
NC_002506.1	6	314254	314585	332	integron_01	attc_006	attc_007
NC_002506.1	7	314712	315162	451	integron_01	attc_007	attc_008
NC_002506.1	8	315291	317384	2094	integron_01	attc_008	attc_009
NC_002506.1	9	317514	317908	395	integron_01	attc_009	attc_010
NC_002506.1	10	318037	321177	3141	integron_01	attc_010	attc_011
NC_002506.1	11	321307	324397	3091	integron_01	attc_011	attc_012
NC_002506.1	12	330839	331177	339	integron_02	attc_001	attc_002
NC_002506.1	13	331307	332972	1666	integron_02	attc_002	attc_003
NC_002506.1	14	333101	334453	1353	integron_02	attc_003	attc_004
NC_002506.1	15	334580	335869	1290	integron_02	attc_004	attc_005
NC_002506.1	16	336000	338179	2180	integron_02	attc_005	attc_006
NC_002506.1	17	338308	338829	522	integron_02	attc_006	attc_007
NC_002506.1	18	338959	339824	866	integron_02	attc_007	attc_008
NC_002506.1	19	339954	340285	332	integron_02	attc_008	attc_009
NC_002506.1	20	340412	343097	2686	integron_02	attc_009	attc_010
NC_002506.1	21	343227	345800	2574	integron_02	attc_010	attc_011
NC_002506.1	22	345931	347196	1266	integron_02	attc_011	attc_012
NC_002506.1	23	347321	348945	1625	integron_02	attc_012	attc_013
NC_002506.1	24	349074	349505	432	integron_02	attc_013	attc_014
NC_002506.1	25	349635	350234	600	integron_02	attc_014	attc_015
NC_002506.1	26	350363	352688	2326	integron_02	attc_015	attc_016
NC_002506.1	27	352817	353564	748	integron_02	attc_016	attc_017
NC_002506.1	28	353694	354638	945	integron_02	attc_017	attc_018
NC_002506.1	29	365339	366018	680	integron_03	attc_001	attc_002
NC_002506.1	30	366148	369199	3052	integron_03	attc_002	attc_003
NC_002506.1	31	369329	370035	707	integron_03	attc_003	attc_004
NC_002506.1	32	370162	370556	395	integron_03	attc_004	attc_005
NC_002506.1	33	370686	371462	777	integron_03	attc_005	attc_006
NC_002506.1	34	371592	374368	2777	integron_03	attc_006	attc_007
NC_002506.1	35	374498	374943	446	integron_03	attc_007	attc_008
NC_002506.1	36	375072	377141	2070	integron_03	attc_008	attc_009
NC_002506.1	37	377271	379136	1866	integron_03	attc_009	attc_010
NC_002506.1	38	379266	379615	350	integron_03	attc_010	attc_011
NC_002506.1	39	379745	380235	491	integron_03	attc_011	attc_012
NC_002506.1	40	380365	380745	381	integron_03	attc_012	attc_013
NC_002506.1	41	380871	381277	407	integron_03	attc_013	attc_014
NC_002506.1	42	381406	383777	2372	integron_03	attc_014	attc_015
NC_002506.1	43	383906	385463	1558	integron_03	attc_015	attc_016
NC_002506.1	44	385593	387458	1866	integron_03	attc_016	attc_017
NC_002506.1	45	395214	397891	2678	integron_04	attc_001	attc_002
NC_002506.1	46	398018	399162	1145	integron_04	attc_002	attc_003
NC_002506.1	47	399292	401058	1767	integron_04	attc_003	attc_004
NC_002506.1	48	401187	401792	606	integron_04	attc_004	attc_005
NC_002506.1	49	401921	403666	1746	integron_04	attc_005	attc_006
NC_002506.1	50	403794	406260	2467	integron_04	attc_006	attc_007
NC_002506.1	51	406389	407508	1120	integron_04	attc_007	attc_008
NC_002506.1	52	407638	408394	757	integron_04	attc_008	attc_009
NC_002506.1	53	408522	409390	869	integron_04	attc_009	attc_010
NC_002506.1	54	409517	410121	605	integron_04	attc_010	attc_011
NC_002506.1	55	410250	412219	1970	integron_04	attc_011	attc_012
NC_002506.1	56	412349	412754	406	integron_04	attc_012	attc_013
NC_002506.1	57	412884	414765	1882	integron_04	attc_013	attc_014
NC_002506.1	58	430973	431820	848	integron_05	attc_001	attc_002
NC_002506.1	59	431950	432890	941	integron_05	attc_002	attc_003
