element	category	label
NC_002506.1_270	hypothetical	no annotation
NC_002506.1_271	other	DUF6338
NC_002506.1_272	hypothetical	no annotation
NC_002506.1_273	hypothetical	no annotation
NC_002506.1_274	other	DUF2805
NC_002506.1_275	hypothetical	no annotation
NC_002506.1_276	other	Hexapep
NC_002506.1_277	other	adh_short_C2
NC_002506.1_278	hypothetical	no annotation
NC_002506.1_279	other	HNH
NC_002506.1_280	defence	Ogmios
NC_002506.1_281	defence	EcoKMcrA
NC_002506.1_282	hypothetical	no annotation
NC_002506.1_283	ta	ParE_toxin
NC_002506.1_284	ta	PhdYeFM_antitox
NC_002506.1_285	other	NUDIX
NC_002506.1_286	other	DUF1289
NC_002506.1_287	other	Acetyltransf_3
NC_002506.1_288	other	Lipocalin_2
NC_002506.1_289	other	Acetyltransf_10
NC_002506.1_290	ta	TacA1
NC_002506.1_291	defence	Nantosuelta
NC_002506.1_292	ta	YafQ_toxin
NC_002506.1_293	ta	RelB
NC_002506.1_294	other	Glyoxalase
NC_002506.1_295	hypothetical	no annotation
NC_002506.1_296	other	DUF2805
NC_002506.1_297	hypothetical	no annotation
NC_002506.1_298	other	DUF3709
NC_002506.1_299	other	OsmC
NC_002506.1_300	hypothetical	no annotation
NC_002506.1_301	ta	BrnT_toxin
NC_002506.1_302	hypothetical	no annotation
NC_002506.1_303	hypothetical	no annotation
NC_002506.1_304	other	Peptidase_S66
NC_002506.1_305	other	Glyoxalase
NC_002506.1_306	hypothetical	no annotation
NC_002506.1_307	other	Glyoxalase
NC_002506.1_308	hypothetical	no annotation
NC_002506.1_309	hypothetical	no annotation
NC_002506.1_310	other	DUF2805
NC_002506.1_311	hypothetical	no annotation
NC_002506.1_312	other	DUF1349
NC_002506.1_313	hypothetical	no annotation
NC_002506.1_314	other	LRAT
NC_002506.1_315	other	Glyoxalase
NC_002506.1_316	ta	ParE_toxin
NC_002506.1_317	hypothetical	no annotation
NC_002506.1_318	other	Lipocalin_2
NC_002506.1_319	hypothetical	no annotation
NC_002506.1_320	other	GrpB
NC_002506.1_321	other	LysE
NC_002506.1_322	defence	Sirona
NC_002506.1_323	hypothetical	no annotation
NC_002506.1_324	other	DUF3465
NC_002506.1_325	ta	ParE_toxin
NC_002506.1_326	ta	ParD_antitoxin
NC_002506.1_327	hypothetical	no annotation
NC_002506.1_328	hypothetical	no annotation
NC_002506.1_329	hypothetical	no annotation
NC_002506.1_330	hypothetical	no annotation
NC_002506.1_331	hypothetical	no annotation
NC_002506.1_332	defence	Epona
NC_002506.1_333	defence	Sucellos
NC_002506.1_334	defence	Sucellos
NC_002506.1_335	hypothetical	no annotation
NC_002506.1_336	other	rve
NC_002506.1_337	other	HTH_Tnp_1
NC_002506.1_338	defence	Divona
NC_002506.1_339	other	DUF6404
NC_002506.1_340	other	DUF6404
NC_002506.1_341	other	NTP_transf_6
NC_002506.1_342	other	Acetyltransf_1
NC_002506.1_343	hypothetical	no annotation
NC_002506.1_344	hypothetical	no annotation
NC_002506.1_345	ta	ParE_toxin
NC_002506.1_346	ta	PhdYeFM_antitox
NC_002506.1_347	other	Acetyltransf_4
NC_002506.1_348	hypothetical	no annotation
NC_002506.1_349	ta	HigB-like_toxin
NC_002506.1_350	other	HTH_3
NC_002506.1_351	other	PhzC-PhzF
NC_002506.1_352	defence	Taranis
NC_002506.1_353	hypothetical	no annotation
NC_002506.1_354	hypothetical	no annotation
NC_002506.1_355	defence	Damona
NC_002506.1_356	other	Acetyltransf_1
NC_002506.1_357	other	Glyoxalase
NC_002506.1_358	other	Acetyltransf_1
NC_002506.1_359	hypothetical	no annotation
NC_002506.1_360	other	Lipocalin_2
NC_002506.1_361	hypothetical	no annotation
NC_002506.1_362	defence	Lugos
NC_002506.1_363	defence	Cernunnos
NC_002506.1_364	hypothetical	no annotation
NC_002506.1_365	other	DUF3465
NC_002506.1_366	other	Glyoxalase
NC_002506.1_367	other	DUF3709
NC_002506.1_368	other	Acetyltransf_3
NC_002506.1_369	hypothetical	no annotation
NC_002506.1_370	defence	Brigantia
NC_002506.1_371	other	DUF4144
NC_002506.1_372	hypothetical	no annotation
NC_002506.1_373	ta	PhdYeFM_antitox
NC_002506.1_374	ta	ParE_toxin
NC_002506.1_375	other	DUF3465
NC_002506.1_376	other	DUF1289
NC_002506.1_377	hypothetical	no annotation
NC_002506.1_378	hypothetical	no annotation
NC_002506.1_379	other	DUF4144
NC_002506.1_380	other	Glyoxalase
NC_002506.1_381	defence	Aristaios
NC_002506.1_382	other	Acetyltransf_1
NC_002506.1_383	other	Peptidase_S66
NC_002506.1_384	hypothetical	no annotation
NC_002506.1_385	defence	Nemetona
NC_002506.1_386	other	Acetyltransf_1
NC_002506.1_387	other	Lipocalin_2
NC_002506.1_388	ta	ParE_toxin
NC_002506.1_389	ta	PhdYeFM_antitox
NC_002506.1_390	hypothetical	no annotation
NC_002506.1_391	defence	Toutatis
NC_002506.1_392	hypothetical	no annotation
NC_002506.1_393	other	DUF3465
NC_002506.1_394	defence	Esos
NC_002506.1_395	hypothetical	no annotation
NC_002506.1_396	hypothetical	no annotation
NC_002506.1_397	hypothetical	no annotation
NC_002506.1_398	other	SBP_bac_11
NC_002506.1_399	hypothetical	no annotation
NC_002506.1_400	other	DJ-1_PfpI
NC_002506.1_401	defence	Belenos
NC_002506.1_402	defence	Belisama
NC_002506.1_403	hypothetical	no annotation
NC_002506.1_404	hypothetical	no annotation
NC_002506.1_405	hypothetical	no annotation
NC_002506.1_406	other	Glyoxalase
NC_002506.1_407	hypothetical	no annotation
NC_002506.1_408	hypothetical	no annotation
NC_002506.1_409	hypothetical	no annotation
NC_002506.1_410	other	DUF1289
NC_002506.1_411	hypothetical	no annotation
NC_002506.1_412	other	DUF1289
NC_002506.1_413	hypothetical	no annotation
NC_002506.1_414	ta	MqsA_antitoxin
NC_002506.1_415	other	Acetyltransf_1
NC_002506.1_416	hypothetical	no annotation
NC_002506.1_417	other	DDE_Tnp_1
NC_002506.1_418	hypothetical	no annotation
NC_002506.1_419	other	Acetyltransf_1
NC_002506.1_420	other	Fic
NC_002506.1_421	other	Glyoxalase
NC_002506.1_422	ta	PhdYeFM_antitox
NC_002506.1_423	ta	ParE_toxin
NC_002506.1_424	other	Acetyltransf_1
NC_002506.1_425	other	Acetyltransf_10
NC_002506.1_426	ta	TacA1
NC_002506.1_427	other	8xMP
NC_002506.1_428	other	CyanoTRADDas_TM
NC_002506.1_429	other	MazG
NC_002506.1_430	ta	TacA1
NC_002506.1_431	other	Acetyltransf_7
NC_002506.1_432	defence	PfiAT
NC_002506.1_433	defence	PfiAT
NC_002506.1_434	other	Abhydrolase_3
NC_002506.1_435	hypothetical	no annotation
NC_002506.1_436	hypothetical	no annotation
NC_002506.1_437	other	Y1_Tnp
NC_002506.1_438	hypothetical	no annotation
NC_002506.1_439	other	DUF3800
NC_002506.1_440	other	GST_N_3
NC_002506.1_441	other	DUF4160
NC_002506.1_442	other	DUF2442
NC_002506.1_443	hypothetical	no annotation
NC_002506.1_444	ta	ParE_toxin
NC_002506.1_445	hypothetical	no annotation
NC_002506.1_446	other	Acetyltransf_1
NC_002506.1_447	other	Glyoxalase
NC_002506.1_448	hypothetical	no annotation
