replicon	cassette_number	start	end	length	integron_id	upstream_attc	downstream_attc
NC_009456.1	1	802355	803295	941	integron_01	attc_001	attc_002
NC_009456.1	2	803425	804272	848	integron_01	attc_002	attc_003
NC_009456.1	3	804401	808258	3858	integron_01	attc_003	attc_004
NC_009456.1	4	839926	840306	381	integron_02	attc_001	attc_002
NC_009456.1	5	840436	842405	1970	integron_02	attc_002	attc_003
NC_009456.1	6	842534	843138	605	integron_02	attc_003	attc_004
NC_009456.1	7	843265	844133	869	integron_02	attc_004	attc_005
NC_009456.1	8	844261	845017	757	integron_02	attc_005	attc_006
NC_009456.1	9	845147	846266	1120	integron_02	attc_006	attc_007
NC_009456.1	10	846395	848863	2469	integron_02	attc_007	attc_008
NC_009456.1	11	848991	850736	1746	integron_02	attc_008	attc_009
NC_009456.1	12	850865	853364	2500	integron_02	attc_009	attc_010
NC_009456.1	13	853494	854638	1145	integron_02	attc_010	attc_011
NC_009456.1	14	854765	857441	2677	integron_02	attc_011	attc_012
NC_009456.1	15	869608	870039	432	integron_03	attc_001	attc_002
NC_009456.1	16	870121	870550	430	integron_03	attc_002	attc_003
NC_009456.1	17	870648	874508	3861	integron_03	attc_003	attc_004
NC_009456.1	18	874637	875177	541	integron_03	attc_004	attc_005
NC_009456.1	19	875303	875683	381	integron_03	attc_005	attc_006
NC_009456.1	20	875813	876303	491	integron_03	attc_006	attc_007
NC_009456.1	21	876433	876840	408	integron_03	attc_007	attc_008
NC_009456.1	22	876969	877499	531	integron_03	attc_008	attc_009
NC_009456.1	23	877626	877957	332	integron_03	attc_009	attc_010
NC_009456.1	24	878087	881336	3250	integron_03	attc_010	attc_011
NC_009456.1	25	881466	884221	2756	integron_03	attc_011	attc_012
NC_009456.1	26	884351	884782	432	integron_03	attc_012	attc_013
NC_009456.1	27	884913	888238	3326	integron_03	attc_013	attc_014
NC_009456.1	28	888364	889308	945	integron_03	attc_014	attc_015
NC_009456.1	29	889438	890186	749	integron_03	attc_015	attc_016
NC_009456.1	30	890315	890684	370	integron_03	attc_016	attc_017
NC_009456.1	31	890814	891562	749	integron_03	attc_017	attc_018
NC_009456.1	32	891691	894016	2326	integron_03	attc_018	attc_019
NC_009456.1	33	894145	894744	600	integron_03	attc_019	attc_020
NC_009456.1	34	894874	895305	432	integron_03	attc_020	attc_021
NC_009456.1	35	895434	897057	1624	integron_03	attc_021	attc_022
NC_009456.1	36	897182	898447	1266	integron_03	attc_022	attc_023
NC_009456.1	37	898578	898979	402	integron_03	attc_023	attc_024
NC_009456.1	38	899107	899449	343	integron_03	attc_024	attc_025
NC_009456.1	39	899578	899985	408	integron_03	attc_025	attc_026
NC_009456.1	40	900113	900621	509	integron_03	attc_026	attc_027
NC_009456.1	41	900750	901181	432	integron_03	attc_027	attc_028
NC_009456.1	42	901311	902720	1410	integron_03	attc_028	attc_029
NC_009456.1	43	902850	904919	2070	integron_03	attc_029	attc_030
NC_009456.1	44	905048	905493	446	integron_03	attc_030	attc_031
NC_009456.1	45	905623	908399	2777	integron_03	attc_031	attc_032
NC_009456.1	46	908529	909305	777	integron_03	attc_032	attc_033
NC_009456.1	47	909435	909829	395	integron_03	attc_033	attc_034
NC_009456.1	48	909956	910662	707	integron_03	attc_034	attc_035
NC_009456.1	49	910792	913843	3052	integron_03	attc_035	attc_036
NC_009456.1	50	913973	914652	680	integron_03	attc_036	attc_037
