accession,species,cassettes,defence_systems
GCF_043765735.1,Vibrio cholerae,218,20
GCF_001887395.1,Vibrio cholerae,220,20
GCF_043760675.1,Vibrio cholerae,197,20
GCF_043760105.1,Vibrio cholerae,202,20
GCF_043763295.1,Vibrio cholerae,220,20
GCF_043766955.1,Vibrio cholerae,220,20
GCF_002892855.1,Vibrio cholerae,167,19
GCF_017948285.1,Vibrio cholerae,167,19
GCF_015482825.1,Vibrio cholerae C6706,167,19
GCF_002749635.1,Vibrio cholerae,168,19
GCF_046736365.1,Vibrio cholerae C6706,167,19
GCF_043759795.1,Vibrio cholerae,168,19
GCF_001887655.1,Vibrio cholerae,219,19
GCF_000250855.1,Vibrio cholerae IEC224,170,19
GCF_043756065.1,Vibrio cholerae,166,19
GCF_013085075.1,Vibrio cholerae C6706,167,19
GCF_044343075.1,Vibrio cholerae,167,19
GCF_003063785.1,Vibrio cholerae,170,19
GCF_013085105.1,Vibrio cholerae O1 biovar El Tor,167,19
GCF_043755855.1,Vibrio cholerae,168,19
GCF_043766185.1,Vibrio cholerae,170,19
GCF_013085125.1,Vibrio cholerae O1 biovar El Tor,170,19
GCF_043756335.1,Vibrio cholerae,168,19
GCF_013085165.1,Vibrio cholerae O1 biovar El Tor,168,19
GCF_003097695.1,Vibrio cholerae,167,19
GCF_001887515.1,Vibrio cholerae,203,19
GCF_002073335.2,Vibrio cholerae,170,19
GCF_000006745.1,Vibrio cholerae O1 biovar El Tor str. N16961,170,19
GCF_043769025.1,Vibrio cholerae,168,19
GCF_900205735.1,Vibrio cholerae O1 biovar El Tor str. N16961,170,19
GCF_002997215.1,Vibrio cholerae,167,19
GCF_044343085.1,Vibrio cholerae,168,19
GCF_001250235.2,Vibrio cholerae,170,19
GCF_009763945.1,Vibrio cholerae C6706,166,19
GCF_043758405.1,Vibrio cholerae,167,19
GCF_044343165.1,Vibrio cholerae,168,19
GCF_043762865.1,Vibrio cholerae,217,18
GCF_001887455.1,Vibrio cholerae,217,18
GCF_001887495.1,Vibrio cholerae,214,18
GCF_001887635.1,Vibrio cholerae,176,17
GCF_043757505.1,Vibrio cholerae,154,17
GCF_001887415.1,Vibrio cholerae,206,17
GCF_009646135.1,Vibrio cholerae O395,123,16
GCF_000021625.1,Vibrio cholerae O395,128,16
GCF_043757815.1,Vibrio cholerae,204,16
GCF_052271875.1,Vibrio cholerae,125,16
GCF_051903285.1,Vibrio cholerae,119,16
GCF_000016245.1,Vibrio cholerae O395,125,16
GCF_001683415.1,Vibrio cholerae 2740-80,192,14
GCF_001887475.1,Vibrio cholerae,192,14
GCF_001887615.1,Vibrio cholerae,168,14
GCF_051903295.1,Vibrio cholerae,116,14
GCF_009762985.1,Vibrio cholerae,191,14
GCF_034008175.1,Vibrio cholerae,131,13
GCF_053220615.1,Vibrio cholerae,241,13
GCF_056770545.1,Vibrio cholerae,130,13
GCF_034008165.1,Vibrio cholerae,130,13
GCF_056770485.1,Vibrio cholerae,130,13
GCF_900324445.1,Vibrio cholerae,116,13
GCF_000166455.1,Vibrio cholerae O1 str. 2010EL-1786,130,13
GCF_018336415.1,Vibrio cholerae O37,158,13
GCF_937000105.1,Vibrio cholerae,130,13
GCF_013085145.1,Vibrio cholerae O1 biovar El Tor,130,13
GCF_044905055.1,Vibrio cholerae,132,13
GCF_003719755.1,Vibrio cholerae,131,13
GCF_001318185.1,Vibrio cholerae O1 str. KW3,130,13
GCF_045689325.1,Vibrio cholerae V52,155,13
GCF_041834225.2,Vibrio cholerae,128,13
GCF_024734685.1,Vibrio cholerae,130,13
GCF_021431865.1,Vibrio cholerae,131,13
GCF_009763825.1,Vibrio cholerae,116,13
GCF_900324455.1,Vibrio cholerae,115,13
GCF_030718725.1,Vibrio cholerae,130,13
GCF_056770575.1,Vibrio cholerae,130,13
GCF_056770475.1,Vibrio cholerae,130,13
GCF_900324425.1,Vibrio cholerae,116,13
GCF_052956585.1,Vibrio cholerae,122,13
GCF_000765415.1,Vibrio cholerae,131,13
GCF_000963555.1,Vibrio cholerae O1 biovar El Tor,130,13
GCF_000275645.1,Vibrio cholerae H1,130,13
GCF_002946655.1,Vibrio cholerae O1 biovar El Tor,130,13
GCF_017948345.1,Vibrio cholerae MO10,115,13
GCF_056770535.1,Vibrio cholerae,133,13
GCF_047524955.2,Vibrio cholerae,130,13
GCF_013462495.1,Vibrio cholerae,115,13
GCF_030718765.1,Vibrio cholerae,130,13
GCF_019704255.1,Vibrio cholerae,130,13
GCF_000022585.1,Vibrio cholerae MJ-1236,129,13
GCF_019704235.1,Vibrio cholerae,131,13
GCF_042604665.1,Vibrio cholerae,122,13
GCF_050500225.1,Vibrio cholerae,130,13
GCF_040412195.1,Vibrio cholerae,130,13
GCF_030718745.1,Vibrio cholerae,130,13
GCF_044905045.1,Vibrio cholerae,130,13
GCF_009799825.1,Vibrio cholerae,130,13
GCF_019458445.1,Vibrio cholerae,131,13
GCF_003574155.1,Vibrio cholerae,107,12
GCF_030062725.1,Vibrio cholerae,127,12
GCF_021397735.1,Vibrio harveyi,135,11
GCF_000829215.1,Vibrio cholerae MS6,193,11
GCF_040556435.1,Vibrio cholerae,146,11
GCF_051132235.1,Vibrio sp. SCSIO 43086,186,11
GCF_052076115.1,Vibrio harveyi,135,11
GCF_000021605.1,Vibrio cholerae M66-2,131,11
GCF_043763905.1,Vibrio cholerae,163,10
GCF_002257545.1,Vibrio qinghaiensis,377,10
GCF_001887435.1,Vibrio cholerae,163,10
GCF_013357785.1,Vibrio cholerae,293,10
GCF_053220475.1,Vibrio cholerae,166,9
GCF_000788715.2,Vibrio cholerae,147,9
GCF_013357685.1,Vibrio cholerae,264,9
GCF_028609705.1,Vibrio parahaemolyticus,81,9
GCF_001854425.1,Vibrio cholerae,147,9
GCF_013357745.1,Vibrio cholerae,242,9
GCF_013357805.1,Vibrio cholerae,292,9
GCF_002953355.1,Vibrio diabolicus,139,9
GCF_053154035.1,Vibrio harveyi,121,9
GCF_042848055.1,Vibrio harveyi,113,9
GCF_024347395.1,Vibrio cortegadensis,171,9
GCF_009938115.1,Vibrio cholerae O1,147,9
GCF_046532655.1,Vibrio vulnificus,240,9
GCF_013357765.1,Vibrio cholerae,240,9
GCF_021730025.1,Vibrio parahaemolyticus,81,8
GCF_000196095.1,Vibrio parahaemolyticus RIMD 2210633,65,8
GCF_002073775.2,Vibrio parahaemolyticus,65,8
GCF_043754845.1,Vibrio cholerae,132,8
GCF_052076125.1,Vibrio parahaemolyticus,65,8
GCF_028609685.1,Vibrio parahaemolyticus,81,8
GCF_056674835.1,Vibrio alginolyticus,101,8
GCF_057730815.1,Aliivibrio fischeri,105,8
GCF_054906185.1,Vibrio cholerae,213,8
GCF_046271965.1,Vibrio parahaemolyticus,65,8
GCF_905175335.1,Vibrio sp. B1FIG11,98,8
GCF_057439795.1,Vibrio harveyi,72,8
GCF_033441455.1,Vibrio parahaemolyticus,190,8
GCF_060301545.1,Vibrio parahaemolyticus,164,8
GCF_039602145.1,Vibrio cholerae,175,8
GCF_021729965.1,Vibrio parahaemolyticus,81,8
GCF_055394615.1,Vibrio parahaemolyticus,63,8
GCF_030552955.1,Vibrio parahaemolyticus,63,8
GCF_002863725.1,Vibrio vulnificus,270,8
GCF_028551315.1,Vibrio harveyi,106,8
GCF_004006515.1,Vibrio parahaemolyticus,63,8
GCF_002906455.1,Vibrio campbellii,87,8
GCF_013393885.1,Vibrio parahaemolyticus,125,8
GCF_057439825.1,Vibrio harveyi,72,8
GCF_028228685.1,Vibrio parahaemolyticus,63,8
GCF_055797365.1,Vibrio cholerae,197,8
GCF_053220535.1,Vibrio cholerae,197,8
GCF_029990625.1,Vibrio vulnificus,175,7
GCF_900324435.1,Vibrio cholerae,216,7
GCF_048914355.1,Vibrio parahaemolyticus,185,7
GCF_040254425.1,Vibrio parahaemolyticus,311,7
GCF_049384865.1,Vibrio harveyi,66,7
GCF_013357725.1,Vibrio cholerae,191,7
GCF_038050815.1,Vibrio parahaemolyticus,185,7
GCF_057368575.1,Aliivibrio thorii,97,7
GCF_013357825.1,Vibrio cholerae,287,7
GCF_026970915.1,Vibrio parahaemolyticus,184,7
GCF_000770115.1,Vibrio harveyi,91,7
GCF_001558475.2,Vibrio mimicus,184,7
GCF_051131125.1,Vibrio parahaemolyticus,129,7
GCF_009665475.1,Vibrio vulnificus,256,7
GCF_050920865.1,Vibrio parahaemolyticus,185,7
GCF_057368635.1,Aliivibrio logei,112,7
GCF_046118655.1,Vibrio parahaemolyticus,175,7
GCF_038050985.1,Vibrio parahaemolyticus,185,7
GCF_057368585.1,Aliivibrio thorii,97,7
GCF_009665195.1,Vibrio mimicus,214,7
GCF_052545415.1,Vibrio cholerae,240,7
GCF_038741195.1,Vibrio parahaemolyticus,185,7
GCF_049816175.1,Vibrio campbellii,95,7
GCF_001675245.1,Vibrio vulnificus,257,7
GCF_964264695.1,Aliivibrio logei,109,7
GCF_013357845.1,Vibrio cholerae,262,7
GCF_019670485.1,Vibrio alfacsensis,118,7
GCF_046118645.1,Vibrio parahaemolyticus,163,7
GCF_052953315.1,Vibrio parahaemolyticus,185,7
GCF_000430425.1,Vibrio parahaemolyticus O1:K33 str. CDC_K4557,117,7
GCF_050920685.1,Vibrio parahaemolyticus,120,6
GCF_009763085.1,Vibrio alginolyticus,157,6
GCF_046850195.1,Vibrio aestuarianus subsp. francensis,300,6
GCF_023206775.1,Vibrio alginolyticus,98,6
GCF_015767675.1,Vibrio navarrensis,311,6
GCF_051903045.1,Vibrio parahaemolyticus,185,6
GCF_037101305.1,Vibrio cholerae,230,6
GCF_001682175.1,Vibrio parahaemolyticus,168,6
GCF_040735825.1,Vibrio cholerae,152,6
GCF_013393845.1,Vibrio parahaemolyticus,235,6
GCF_009665275.1,Vibrio metoecus,220,6
GCF_004328575.1,Vibrio cholerae,106,6
GCF_045820715.1,Vibrio rotiferianus,77,6
GCF_900185995.1,Vibrio cholerae,188,6
GCF_036351935.1,Vibrio harveyi,80,6
GCF_025917745.1,Vibrio parahaemolyticus,123,6
GCF_030238725.2,Vibrio parahaemolyticus,110,6
GCF_001188185.2,Vibrio parahaemolyticus,103,6
GCF_002211985.1,Vibrio anguillarum,208,6
GCF_002209725.2,Vibrio parahaemolyticus,168,6
GCF_009763505.1,Vibrio parahaemolyticus,121,6
GCF_056135565.1,Vibrio parahaemolyticus,146,6
GCF_009763565.1,Vibrio parahaemolyticus,168,6
GCF_009649015.1,Vibrio parahaemolyticus 10329,103,6
GCF_057368515.1,Aliivibrio friggae,90,6
GCF_025258945.1,Vibrio cholerae,135,6
GCF_009763165.1,Vibrio parahaemolyticus,126,6
GCF_057368495.1,Aliivibrio friggae,90,6
GCF_003063885.1,Vibrio cholerae,226,6
GCF_001262735.2,Vibrio harveyi,102,6
GCF_013357865.1,Vibrio cholerae,232,6
GCF_008369605.1,Vibrio cholerae,156,6
GCF_057368525.1,Aliivibrio friggae,89,6
GCF_030220165.1,Vibrio vulnificus,209,6
GCF_023716625.1,Vibrio sp. SCSIO 43153,124,6
GCF_009763645.1,Vibrio parahaemolyticus,126,6
GCF_002212025.1,Vibrio anguillarum,231,6
GCF_049816605.1,Vibrio parahaemolyticus,123,6
GCF_057368475.1,Aliivibrio friggae,90,6
GCF_032841475.3,Vibrio cholerae,130,6
GCF_056820805.1,Vibrio vulnificus,215,6
GCF_025258925.1,Vibrio cholerae,135,6
GCF_002290245.2,Vibrio parahaemolyticus,126,6
GCF_009763525.1,Vibrio parahaemolyticus,121,6
GCF_045348105.1,Vibrio vulnificus,314,5
GCF_009763545.1,Vibrio parahaemolyticus,53,5
GCF_059427945.1,Vibrio parahaemolyticus,111,5
GCF_048284885.2,Vibrio parahaemolyticus,122,5
GCF_002953975.1,Vibrio alginolyticus,81,5
GCF_001433435.1,Vibrio vulnificus,222,5
GCF_009763445.1,Vibrio parahaemolyticus,149,5
GCF_023716605.1,Vibrio sp. SCSIO 43155,110,5
GCF_030060435.1,Vibrio harveyi,109,5
GCF_058267735.1,Vibrio parahaemolyticus,142,5
GCF_001700835.1,Vibrio parahaemolyticus,64,5
GCF_002953335.1,Vibrio diabolicus,144,5
GCF_023205955.1,Vibrio parahaemolyticus,103,5
GCF_026013235.1,Vibrio cholerae,75,5
GCF_054111865.1,Vibrio diabolicus,148,5
GCF_051046905.1,Vibrio cholerae,257,5
GCF_900538065.1,Vibrio paracholerae,145,5
GCF_054875955.1,Vibrio parahaemolyticus,141,5
GCF_058215515.1,Vibrio cholerae,222,5
GCF_004319645.1,Vibrio vulnificus,173,5
GCF_002906655.1,Vibrio hyugaensis,143,5
GCF_030238765.2,Vibrio parahaemolyticus,170,5
GCF_003612695.1,Vibrio parahaemolyticus,178,5
GCF_043995865.1,Vibrio sp. D3,103,5
GCF_014274185.1,Vibrio alginolyticus,106,5
GCF_057368455.1,Aliivibrio thorii,128,5
